Time (EET);Open;High;Low;Close;Volume 
2020.01.02 01:00:00;1518,768;1521,068;1518,768;1519,598;0,32416
2020.01.02 01:30:00;1519,588;1519,778;1518,075;1518,285;0,26116
2020.01.02 02:00:00;1518,305;1519,305;1518,008;1519,205;0,38702
2020.01.02 02:30:00;1519,185;1519,285;1518,3;1518,625;0,28455
2020.01.02 03:00:00;1518,605;1520,835;1517,115;1519,935;0,94009
2020.01.02 03:30:00;1519,935;1520,318;1518,875;1519,365;0,46868
2020.01.02 04:00:00;1519,345;1519,615;1518,335;1519,515;0,49069
2020.01.02 04:30:00;1519,535;1520,855;1519,408;1520,555;0,46485
2020.01.02 05:00:00;1520,555;1521,135;1519,955;1520,215;0,40924
2020.01.02 05:30:00;1520,295;1520,525;1519,785;1520,275;0,17429
2020.01.02 06:00:00;1520,275;1520,355;1519,765;1519,828;0,09263
2020.01.02 06:30:00;1519,795;1520,038;1519,485;1519,485;0,18242
2020.01.02 07:00:00;1519,425;1519,708;1518,938;1519,438;0,2294
2020.01.02 07:30:00;1519,508;1520,375;1519,008;1520,185;0,40579
2020.01.02 08:00:00;1520,185;1520,768;1519,828;1520,108;0,49022
2020.01.02 08:30:00;1520,108;1520,945;1519,158;1520,925;0,79843
2020.01.02 09:00:00;1520,945;1521,375;1519,165;1519,585;0,97822
2020.01.02 09:30:00;1519,548;1520,325;1519,028;1519,128;0,78575
2020.01.02 10:00:00;1519,135;1520,475;1518,395;1519,395;1,79525
2020.01.02 10:30:00;1519,405;1520,968;1519,345;1520,748;1,22488
2020.01.02 11:00:00;1520,758;1520,928;1519,515;1520,365;0,82963
2020.01.02 11:30:00;1520,365;1521,348;1520,355;1520,625;0,79964
2020.01.02 12:00:00;1520,655;1520,868;1519,588;1520,395;0,85331
2020.01.02 12:30:00;1520,395;1521,348;1519,715;1521,168;0,65431
2020.01.02 13:00:00;1521,188;1521,878;1521,168;1521,495;0,58731
2020.01.02 13:30:00;1521,475;1522,365;1521,135;1521,955;0,67222
2020.01.02 14:00:00;1521,955;1522,688;1521,555;1522,405;0,80314
2020.01.02 14:30:00;1522,405;1523,615;1522,278;1523,048;0,71656
2020.01.02 15:00:00;1522,995;1525,215;1522,648;1524,205;1,57962
2020.01.02 15:30:00;1524,205;1528,978;1522,998;1527,998;2,22425
2020.01.02 16:00:00;1528,008;1528,688;1527,038;1527,475;2,07348
2020.01.02 16:30:00;1527,608;1530,498;1525,668;1526,255;3,34698
2020.01.02 17:00:00;1526,245;1530,548;1525,788;1529,738;2,56939
2020.01.02 17:30:00;1529,748;1531,328;1528,728;1529,108;1,96852
2020.01.02 18:00:00;1529,115;1529,168;1526,905;1526,948;2,08075
2020.01.02 18:30:00;1526,895;1528,135;1525,208;1525,455;1,8151
2020.01.02 19:00:00;1525,468;1526,035;1522,715;1525,045;1,98416
2020.01.02 19:30:00;1525,045;1525,605;1524,545;1525,208;1,09665
2020.01.02 20:00:00;1525,205;1525,875;1524,915;1525,505;1,11528
2020.01.02 20:30:00;1525,505;1526,485;1524,848;1526,298;0,80369
2020.01.02 21:00:00;1526,298;1526,808;1525,508;1525,808;1,08349
2020.01.02 21:30:00;1525,808;1526,908;1525,548;1526,708;0,82772
2020.01.02 22:00:00;1526,708;1528,408;1526,448;1527,648;1,13848
2020.01.02 22:30:00;1527,608;1528,548;1526,618;1528,298;1,16579
2020.01.02 23:00:00;1528,308;1528,698;1527,835;1528,698;0,26041
2020.01.02 23:30:00;1528,616;1528,948;1528,398;1528,825;0,27637
2020.01.03 01:00:00;1528,568;1529,098;1527,848;1528,495;0,23668
2020.01.03 01:30:00;1528,495;1528,808;1527,928;1528,728;0,1289
2020.01.03 02:00:00;1528,728;1529,968;1528,728;1529,878;0,29149
2020.01.03 02:30:00;1529,885;1530,588;1529,288;1530,475;0,36726
2020.01.03 03:00:00;1530,475;1531,038;1529,868;1530,738;0,52434
2020.01.03 03:30:00;1530,808;1535,748;1530,015;1534,848;1,16263
2020.01.03 04:00:00;1534,928;1540,968;1532,535;1539,768;1,87563
2020.01.03 04:30:00;1539,768;1539,818;1537,915;1538,205;1,63476
2020.01.03 05:00:00;1538,255;1540,498;1537,658;1539,875;1,23693
2020.01.03 05:30:00;1539,855;1539,855;1538,235;1538,548;0,5667
2020.01.03 06:00:00;1538,548;1539,585;1537,398;1538,418;1,13416
2020.01.03 06:30:00;1538,408;1539,178;1538,108;1538,715;0,7549
2020.01.03 07:00:00;1538,698;1540,738;1538,288;1540,338;1,7285
2020.01.03 07:30:00;1540,328;1543,768;1540,028;1541,378;2,03043
2020.01.03 08:00:00;1541,398;1542,538;1541,078;1542,155;0,98555
2020.01.03 08:30:00;1542,175;1542,198;1540,978;1541,215;1,13378
2020.01.03 09:00:00;1541,218;1542,888;1540,108;1540,228;1,5374
2020.01.03 09:30:00;1540,228;1543,918;1540,228;1543,435;2,57526
2020.01.03 10:00:00;1543,455;1545,378;1543;1543,328;2,46942
2020.01.03 10:30:00;1543,328;1544,775;1543;1544,265;1,35754
2020.01.03 11:00:00;1544,285;1547,508;1544,125;1547,188;2,15385
2020.01.03 11:30:00;1547,205;1550,345;1546,725;1546,765;2,07285
2020.01.03 12:00:00;1546,835;1547,875;1545,255;1547,308;1,39147
2020.01.03 12:30:00;1547,305;1549,545;1546,905;1548,465;1,62725
2020.01.03 13:00:00;1548,495;1549,705;1547,875;1549,358;1,28407
2020.01.03 13:30:00;1549,358;1551,445;1548,918;1549,308;1,69907
2020.01.03 14:00:00;1549,318;1549,968;1545,335;1546,775;2,38975
2020.01.03 14:30:00;1546,795;1546,895;1545,758;1546,365;1,25396
2020.01.03 15:00:00;1546,358;1546,628;1540,848;1542,595;2,39134
2020.01.03 15:30:00;1542,595;1547,315;1542,395;1546,228;1,99491
2020.01.03 16:00:00;1546,288;1547,888;1544,605;1547,888;2,38763
2020.01.03 16:30:00;1547,898;1548,068;1544,048;1545,908;3,30869
2020.01.03 17:00:00;1545,948;1550,988;1545,705;1549,688;4,68757
2020.01.03 17:30:00;1549,618;1550,218;1547,435;1548,808;3,52335
2020.01.03 18:00:00;1548,808;1549,465;1547,528;1549,355;1,9499
2020.01.03 18:30:00;1549,405;1550,468;1548,118;1548,238;2,07127
2020.01.03 19:00:00;1548,148;1548,248;1546,938;1548,148;0,94841
2020.01.03 19:30:00;1548,148;1548,838;1547,955;1548,808;1,06858
2020.01.03 20:00:00;1548,738;1550,188;1548,328;1549,768;0,8327
2020.01.03 20:30:00;1549,768;1553,515;1548,858;1549,475;3,22886
2020.01.03 21:00:00;1549,445;1549,738;1547,518;1547,918;2,17855
2020.01.03 21:30:00;1547,928;1548,008;1546,158;1547,795;1,21472
2020.01.03 22:00:00;1547,775;1548,568;1546,845;1547,588;1,67581
2020.01.03 22:30:00;1547,628;1548,978;1547,158;1548,978;1,21321
2020.01.03 23:00:00;1548,978;1550,218;1548,548;1550,068;0,37518
2020.01.03 23:30:00;1550,108;1552,148;1550,108;1551,515;0,53043
2020.01.06 01:00:00;1559,735;1585,625;1559,735;1574,305;2,52885
2020.01.06 01:30:00;1574,265;1574,575;1566,795;1569,145;1,12717
2020.01.06 02:00:00;1569,145;1570,755;1566,995;1569,655;0,94144
2020.01.06 02:30:00;1569,675;1570,185;1568,545;1569,475;0,989
2020.01.06 03:00:00;1569,465;1576,355;1568,725;1574,395;3,28949
2020.01.06 03:30:00;1574,375;1579,965;1573,955;1577,698;2,57958
2020.01.06 04:00:00;1577,678;1577,935;1575,158;1576,875;1,28497
2020.01.06 04:30:00;1576,935;1577,708;1576,565;1577,495;0,97426
2020.01.06 05:00:00;1577,475;1579,008;1576,825;1578,735;1,08926
2020.01.06 05:30:00;1578,775;1579,455;1577,295;1578,045;1,04023
2020.01.06 06:00:00;1578,045;1578,235;1575,505;1575,755;0,94246
2020.01.06 06:30:00;1575,758;1576,518;1574,805;1576,025;1,08784
