Time (EET);Open;High;Low;Close;Volume 
2020.01.02 01:00:00;1519,592;1521,245;1519,435;1520,985;0,04889
2020.01.02 01:05:00;1520,985;1522,125;1520,845;1521,262;0,05339
2020.01.02 01:10:00;1521,192;1521,192;1519,725;1520,035;0,16893
2020.01.02 01:15:00;1520,005;1520,535;1519,935;1520,155;0,07112
2020.01.02 01:20:00;1520,155;1520,155;1519,725;1519,745;0,07733
2020.01.02 01:25:00;1519,745;1520,125;1519,435;1519,875;0,08695
2020.01.02 01:30:00;1519,875;1520,045;1519,595;1519,605;0,03478
2020.01.02 01:35:00;1519,595;1519,825;1519,035;1519,555;0,04573
2020.01.02 01:40:00;1519,555;1519,885;1519,365;1519,625;0,07239
2020.01.02 01:45:00;1519,675;1519,675;1518,675;1518,855;0,07374
2020.01.02 01:50:00;1518,855;1519,085;1518,735;1518,905;0,08285
2020.01.02 01:55:00;1518,885;1518,975;1518,332;1518,595;0,08244
2020.01.02 02:00:00;1518,605;1519,055;1518,305;1519,005;0,09498
2020.01.02 02:05:00;1518,975;1519,175;1518,495;1519,035;0,04694
2020.01.02 02:10:00;1519,045;1519,345;1518,835;1519,335;0,04651
2020.01.02 02:15:00;1519,305;1519,455;1518,845;1519,362;0,07508
2020.01.02 02:20:00;1519,362;1519,562;1519,152;1519,452;0,06568
2020.01.02 02:25:00;1519,392;1519,552;1519,292;1519,452;0,03232
2020.01.02 02:30:00;1519,452;1519,555;1519,095;1519,385;0,06237
2020.01.02 02:35:00;1519,335;1519,385;1519,085;1519,285;0,05207
2020.01.02 02:40:00;1519,215;1519,215;1518,515;1518,632;0,0672
2020.01.02 02:45:00;1518,685;1519,005;1518,532;1518,752;0,06189
2020.01.02 02:50:00;1518,732;1518,752;1518,392;1518,565;0,01777
2020.01.02 02:55:00;1518,602;1518,965;1518,565;1518,845;0,02604
2020.01.02 03:00:00;1518,845;1519,965;1517,392;1518,345;0,32205
2020.01.02 03:05:00;1518,345;1519,455;1518,045;1519,345;0,15869
2020.01.02 03:10:00;1519,365;1519,745;1519,215;1519,415;0,07408
2020.01.02 03:15:00;1519,385;1521,055;1519,355;1521,035;0,11462
2020.01.02 03:20:00;1521,045;1521,125;1520,345;1520,425;0,16513
2020.01.02 03:25:00;1520,465;1520,525;1520,125;1520,215;0,10076
2020.01.02 03:30:00;1520,205;1520,465;1520,005;1520,275;0,11016
2020.01.02 03:35:00;1520,275;1520,555;1519,755;1519,795;0,12025
2020.01.02 03:40:00;1519,775;1520,095;1519,525;1519,795;0,08773
2020.01.02 03:45:00;1519,795;1520,005;1519,405;1519,535;0,079
2020.01.02 03:50:00;1519,512;1519,645;1519,112;1519,635;0,07034
