Time (EET);Open;High;Low;Close;Volume 
2020.01.02 01:00:00;1519,592;1522,125;1518,332;1518,595;0,89854
2020.01.02 02:00:00;1518,605;1519,562;1518,305;1518,845;0,64885
2020.01.02 03:00:00;1518,845;1521,125;1517,392;1519,612;1,4769
2020.01.02 04:00:00;1519,612;1521,125;1518,612;1520,812;0,95109
2020.01.02 05:00:00;1520,835;1521,402;1520,012;1520,545;0,57998
2020.01.02 06:00:00;1520,532;1520,635;1519,755;1519,755;0,28175
2020.01.02 07:00:00;1519,695;1520,615;1519,165;1520,455;0,68233
2020.01.02 08:00:00;1520,492;1521,205;1519,475;1521,205;1,18258
2020.01.02 09:00:00;1521,212;1521,612;1519,305;1519,395;1,70526
2020.01.02 10:00:00;1519,412;1521,205;1518,652;1521,025;2,86527
2020.01.02 11:00:00;1521,025;1521,572;1519,822;1520,872;1,60385
2020.01.02 12:00:00;1520,925;1521,605;1519,895;1521,445;1,31811
2020.01.02 13:00:00;1521,445;1522,625;1521,402;1522,222;1,1122
2020.01.02 14:00:00;1522,232;1523,885;1521,792;1523,325;1,51393
2020.01.02 15:00:00;1523,295;1529;1522,955;1528,245;3,86106
2020.01.02 16:00:00;1528,245;1530,812;1525,835;1526,522;4,91847
2020.01.02 17:00:00;1526,522;1531,585;1526,092;1529,365;3,90226
2020.01.02 18:00:00;1529,402;1529,415;1525,445;1525,755;3,81012
2020.01.02 19:00:00;1525,755;1526,312;1522,992;1525,475;3,27213
2020.01.02 20:00:00;1525,475;1526,755;1525,112;1526,545;1,61008
2020.01.02 21:00:00;1526,512;1527,125;1525,725;1526,955;1,13233
2020.01.02 22:00:00;1526,965;1528,785;1526,725;1528,515;1,31239
2020.01.02 23:00:00;1528,515;1529,785;1528,125;1529,785;0,29629
2020.01.03 01:00:00;1529,302;1529,622;1528,205;1528,955;0,34246
2020.01.03 02:00:00;1528,975;1530,845;1528,975;1530,785;0,75925
2020.01.03 03:00:00;1530,755;1536,015;1530,155;1535,155;1,827
2020.01.03 04:00:00;1535,155;1541,312;1532,842;1538,495;3,75571
2020.01.03 05:00:00;1538,582;1540,812;1537,985;1538,825;1,9798
2020.01.03 06:00:00;1538,805;1539,905;1537,645;1539,005;1,92096
