Time (EET);Open;High;Low;Close;Volume 
2020.01.02 01:00:00;1518,768;1521,068;1518,075;1518,285;0,58532
2020.01.02 02:00:00;1518,305;1519,305;1518,008;1518,625;0,67157
2020.01.02 03:00:00;1518,605;1520,835;1517,115;1519,365;1,40877
2020.01.02 04:00:00;1519,345;1520,855;1518,335;1520,555;0,95554
2020.01.02 05:00:00;1520,555;1521,135;1519,785;1520,275;0,58353
2020.01.02 06:00:00;1520,275;1520,355;1519,485;1519,485;0,27505
2020.01.02 07:00:00;1519,425;1520,375;1518,938;1520,185;0,63519
2020.01.02 08:00:00;1520,185;1520,945;1519,158;1520,925;1,28865
2020.01.02 09:00:00;1520,945;1521,375;1519,028;1519,128;1,76397
2020.01.02 10:00:00;1519,135;1520,968;1518,395;1520,748;3,02013
2020.01.02 11:00:00;1520,758;1521,348;1519,515;1520,625;1,62927
2020.01.02 12:00:00;1520,655;1521,348;1519,588;1521,168;1,50762
2020.01.02 13:00:00;1521,188;1522,365;1521,135;1521,955;1,25953
2020.01.02 14:00:00;1521,955;1523,615;1521,555;1523,048;1,5197
2020.01.02 15:00:00;1522,995;1528,978;1522,648;1527,998;3,80387
2020.01.02 16:00:00;1528,008;1530,498;1525,668;1526,255;5,42046
2020.01.02 17:00:00;1526,245;1531,328;1525,788;1529,108;4,53791
2020.01.02 18:00:00;1529,115;1529,168;1525,208;1525,455;3,89585
2020.01.02 19:00:00;1525,468;1526,035;1522,715;1525,208;3,08081
2020.01.02 20:00:00;1525,205;1526,485;1524,848;1526,298;1,91897
2020.01.02 21:00:00;1526,298;1526,908;1525,508;1526,708;1,91121
2020.01.02 22:00:00;1526,708;1528,548;1526,448;1528,298;2,30427
2020.01.02 23:00:00;1528,308;1528,948;1527,835;1528,825;0,53678
2020.01.03 01:00:00;1528,568;1529,098;1527,848;1528,728;0,36558
2020.01.03 02:00:00;1528,728;1530,588;1528,728;1530,475;0,65875
2020.01.03 03:00:00;1530,475;1535,748;1529,868;1534,848;1,68697
2020.01.03 04:00:00;1534,928;1540,968;1532,535;1538,205;3,51039
2020.01.03 05:00:00;1538,255;1540,498;1537,658;1538,548;1,80363
2020.01.03 06:00:00;1538,548;1539,585;1537,398;1538,715;1,88906
2020.01.03 07:00:00;1538,698;1543,768;1538,288;1541,378;3,75893
2020.01.03 08:00:00;1541,398;1542,538;1540,978;1541,215;2,11933
2020.01.03 09:00:00;1541,218;1543,918;1540,108;1543,435;4,11266
2020.01.03 10:00:00;1543,455;1545,378;1543;1544,265;3,82696
2020.01.03 11:00:00;1544,285;1550,345;1544,125;1546,765;4,2267
2020.01.03 12:00:00;1546,835;1549,545;1545,255;1548,465;3,01872
2020.01.03 13:00:00;1548,495;1551,445;1547,875;1549,308;2,98314
2020.01.03 14:00:00;1549,318;1549,968;1545,335;1546,365;3,64371
2020.01.03 15:00:00;1546,358;1547,315;1540,848;1546,228;4,38625
2020.01.03 16:00:00;1546,288;1548,068;1544,048;1545,908;5,69632
2020.01.03 17:00:00;1545,948;1550,988;1545,705;1548,808;8,21092
2020.01.03 18:00:00;1548,808;1550,468;1547,528;1548,238;4,02117
2020.01.03 19:00:00;1548,148;1548,838;1546,938;1548,808;2,01699
2020.01.03 20:00:00;1548,738;1553,515;1548,328;1549,475;4,06156
2020.01.03 21:00:00;1549,445;1549,738;1546,158;1547,795;3,39327
2020.01.03 22:00:00;1547,775;1548,978;1546,845;1548,978;2,88902
2020.01.03 23:00:00;1548,978;1552,148;1548,548;1551,515;0,90561
2020.01.06 01:00:00;1559,735;1585,625;1559,735;1569,145;3,65602
2020.01.06 02:00:00;1569,145;1570,755;1566,995;1569,475;1,93044
