Time (EET);EndTime;Open;High;Low;Close;Volume;WickPrice;OppositeWickPrice 
2019.12.31 23:59:49.271;2020.01.02 01:00:04.367;1516,91;1516,92;1516,91;1516,92;0,00052;;
2020.01.02 01:00:04.368;2020.01.02 01:00:04.369;1516,92;1516,93;1516,92;1516,93;0;;
2020.01.02 01:00:04.370;2020.01.02 01:00:04.371;1516,93;1516,94;1516,93;1516,94;0;;
2020.01.02 01:00:04.372;2020.01.02 01:00:04.373;1516,94;1516,95;1516,94;1516,95;0;;
2020.01.02 01:00:04.374;2020.01.02 01:00:04.375;1516,95;1516,96;1516,95;1516,96;0;;
2020.01.02 01:00:04.376;2020.01.02 01:00:04.377;1516,96;1516,97;1516,96;1516,97;0;;
2020.01.02 01:00:04.378;2020.01.02 01:00:04.379;1516,97;1516,98;1516,97;1516,98;0;;
2020.01.02 01:00:04.380;2020.01.02 01:00:04.381;1516,98;1516,99;1516,98;1516,99;0;;
2020.01.02 01:00:04.382;2020.01.02 01:00:04.383;1516,99;1517;1516,99;1517;0;;
2020.01.02 01:00:04.384;2020.01.02 01:00:04.385;1517;1517,01;1517;1517,01;0;;
2020.01.02 01:00:04.386;2020.01.02 01:00:04.387;1517,01;1517,02;1517,01;1517,02;0;;
2020.01.02 01:00:04.388;2020.01.02 01:00:04.389;1517,02;1517,03;1517,02;1517,03;0;;
2020.01.02 01:00:04.390;2020.01.02 01:00:04.391;1517,03;1517,04;1517,03;1517,04;0;;
2020.01.02 01:00:04.392;2020.01.02 01:00:04.393;1517,04;1517,05;1517,04;1517,05;0;;
2020.01.02 01:00:04.394;2020.01.02 01:00:04.395;1517,05;1517,06;1517,05;1517,06;0;;
2020.01.02 01:00:04.396;2020.01.02 01:00:04.397;1517,06;1517,07;1517,06;1517,07;0;;
2020.01.02 01:00:04.398;2020.01.02 01:00:04.399;1517,07;1517,08;1517,07;1517,08;0;;
2020.01.02 01:00:04.400;2020.01.02 01:00:04.401;1517,08;1517,09;1517,08;1517,09;0;;
2020.01.02 01:00:04.402;2020.01.02 01:00:04.403;1517,09;1517,1;1517,09;1517,1;0;;
2020.01.02 01:00:04.404;2020.01.02 01:00:04.405;1517,1;1517,11;1517,1;1517,11;0;;
2020.01.02 01:00:04.406;2020.01.02 01:00:04.407;1517,11;1517,12;1517,11;1517,12;0;;
2020.01.02 01:00:04.408;2020.01.02 01:00:04.409;1517,12;1517,13;1517,12;1517,13;0;;
2020.01.02 01:00:04.410;2020.01.02 01:00:04.411;1517,13;1517,14;1517,13;1517,14;0;;
2020.01.02 01:00:04.412;2020.01.02 01:00:04.413;1517,14;1517,15;1517,14;1517,15;0;;
2020.01.02 01:00:04.414;2020.01.02 01:00:04.415;1517,15;1517,16;1517,15;1517,16;0;;
2020.01.02 01:00:04.416;2020.01.02 01:00:04.417;1517,16;1517,17;1517,16;1517,17;0;;
2020.01.02 01:00:04.418;2020.01.02 01:00:04.419;1517,17;1517,18;1517,17;1517,18;0;;
2020.01.02 01:00:04.420;2020.01.02 01:00:04.421;1517,18;1517,19;1517,18;1517,19;0;;
2020.01.02 01:00:04.422;2020.01.02 01:00:04.423;1517,19;1517,2;1517,19;1517,2;0;;
2020.01.02 01:00:04.424;2020.01.02 01:00:04.425;1517,2;1517,21;1517,2;1517,21;0;;
2020.01.02 01:00:04.426;2020.01.02 01:00:04.427;1517,21;1517,22;1517,21;1517,22;0;;
2020.01.02 01:00:04.428;2020.01.02 01:00:04.429;1517,22;1517,23;1517,22;1517,23;0;;
2020.01.02 01:00:04.430;2020.01.02 01:00:04.431;1517,23;1517,24;1517,23;1517,24;0;;
2020.01.02 01:00:04.432;2020.01.02 01:00:04.433;1517,24;1517,25;1517,24;1517,25;0;;
2020.01.02 01:00:04.434;2020.01.02 01:00:04.435;1517,25;1517,26;1517,25;1517,26;0;;
2020.01.02 01:00:04.436;2020.01.02 01:00:04.437;1517,26;1517,27;1517,26;1517,27;0;;
2020.01.02 01:00:04.438;2020.01.02 01:00:04.439;1517,27;1517,28;1517,27;1517,28;0;;
2020.01.02 01:00:04.440;2020.01.02 01:00:04.441;1517,28;1517,29;1517,28;1517,29;0;;
2020.01.02 01:00:04.442;2020.01.02 01:00:04.443;1517,29;1517,3;1517,29;1517,3;0;;
2020.01.02 01:00:04.444;2020.01.02 01:00:04.445;1517,3;1517,31;1517,3;1517,31;0;;
2020.01.02 01:00:04.446;2020.01.02 01:00:04.447;1517,31;1517,32;1517,31;1517,32;0;;
2020.01.02 01:00:04.448;2020.01.02 01:00:04.449;1517,32;1517,33;1517,32;1517,33;0;;
2020.01.02 01:00:04.450;2020.01.02 01:00:04.451;1517,33;1517,34;1517,33;1517,34;0;;
2020.01.02 01:00:04.452;2020.01.02 01:00:04.453;1517,34;1517,35;1517,34;1517,35;0;;
2020.01.02 01:00:04.454;2020.01.02 01:00:04.455;1517,35;1517,36;1517,35;1517,36;0;;
2020.01.02 01:00:04.456;2020.01.02 01:00:04.457;1517,36;1517,37;1517,36;1517,37;0;;
2020.01.02 01:00:04.458;2020.01.02 01:00:04.459;1517,37;1517,38;1517,37;1517,38;0;;
2020.01.02 01:00:04.460;2020.01.02 01:00:04.461;1517,38;1517,39;1517,38;1517,39;0;;
2020.01.02 01:00:04.462;2020.01.02 01:00:04.463;1517,39;1517,4;1517,39;1517,4;0;;
2020.01.02 01:00:04.464;2020.01.02 01:00:04.465;1517,4;1517,41;1517,4;1517,41;0;;
2020.01.02 01:00:04.466;2020.01.02 01:00:04.467;1517,41;1517,42;1517,41;1517,42;0;;
2020.01.02 01:00:04.468;2020.01.02 01:00:04.469;1517,42;1517,43;1517,42;1517,43;0;;
2020.01.02 01:00:04.470;2020.01.02 01:00:04.471;1517,43;1517,44;1517,43;1517,44;0;;
2020.01.02 01:00:04.472;2020.01.02 01:00:04.473;1517,44;1517,45;1517,44;1517,45;0;;
2020.01.02 01:00:04.474;2020.01.02 01:00:04.475;1517,45;1517,46;1517,45;1517,46;0;;
2020.01.02 01:00:04.476;2020.01.02 01:00:04.477;1517,46;1517,47;1517,46;1517,47;0;;
2020.01.02 01:00:04.478;2020.01.02 01:00:04.479;1517,47;1517,48;1517,47;1517,48;0;;
2020.01.02 01:00:04.480;2020.01.02 01:00:04.481;1517,48;1517,49;1517,48;1517,49;0;;
2020.01.02 01:00:04.482;2020.01.02 01:00:04.483;1517,49;1517,5;1517,49;1517,5;0;;
2020.01.02 01:00:04.484;2020.01.02 01:00:04.485;1517,5;1517,51;1517,5;1517,51;0;;
2020.01.02 01:00:04.486;2020.01.02 01:00:04.487;1517,51;1517,52;1517,51;1517,52;0;;
2020.01.02 01:00:04.488;2020.01.02 01:00:04.489;1517,52;1517,53;1517,52;1517,53;0;;
2020.01.02 01:00:04.490;2020.01.02 01:00:04.491;1517,53;1517,54;1517,53;1517,54;0;;
2020.01.02 01:00:04.492;2020.01.02 01:00:04.493;1517,54;1517,55;1517,54;1517,55;0;;
2020.01.02 01:00:04.494;2020.01.02 01:00:04.495;1517,55;1517,56;1517,55;1517,56;0;;
2020.01.02 01:00:04.496;2020.01.02 01:00:04.497;1517,56;1517,57;1517,56;1517,57;0;;
2020.01.02 01:00:04.498;2020.01.02 01:00:04.499;1517,57;1517,58;1517,57;1517,58;0;;
2020.01.02 01:00:04.500;2020.01.02 01:00:04.501;1517,58;1517,59;1517,58;1517,59;0;;
2020.01.02 01:00:04.502;2020.01.02 01:00:04.503;1517,59;1517,6;1517,59;1517,6;0;;
2020.01.02 01:00:04.504;2020.01.02 01:00:04.505;1517,6;1517,61;1517,6;1517,61;0;;
2020.01.02 01:00:04.506;2020.01.02 01:00:04.507;1517,61;1517,62;1517,61;1517,62;0;;
2020.01.02 01:00:04.508;2020.01.02 01:00:04.509;1517,62;1517,63;1517,62;1517,63;0;;
2020.01.02 01:00:04.510;2020.01.02 01:00:04.511;1517,63;1517,64;1517,63;1517,64;0;;
2020.01.02 01:00:04.512;2020.01.02 01:00:04.513;1517,64;1517,65;1517,64;1517,65;0;;
2020.01.02 01:00:04.514;2020.01.02 01:00:04.515;1517,65;1517,66;1517,65;1517,66;0;;
2020.01.02 01:00:04.516;2020.01.02 01:00:04.517;1517,66;1517,67;1517,66;1517,67;0;;
2020.01.02 01:00:04.518;2020.01.02 01:00:04.519;1517,67;1517,68;1517,67;1517,68;0;;
2020.01.02 01:00:04.520;2020.01.02 01:00:04.521;1517,68;1517,69;1517,68;1517,69;0;;
2020.01.02 01:00:04.522;2020.01.02 01:00:04.523;1517,69;1517,7;1517,69;1517,7;0;;
2020.01.02 01:00:04.524;2020.01.02 01:00:04.525;1517,7;1517,71;1517,7;1517,71;0;;
2020.01.02 01:00:04.526;2020.01.02 01:00:04.527;1517,71;1517,72;1517,71;1517,72;0;;
2020.01.02 01:00:04.528;2020.01.02 01:00:04.529;1517,72;1517,73;1517,72;1517,73;0;;
2020.01.02 01:00:04.530;2020.01.02 01:00:04.531;1517,73;1517,74;1517,73;1517,74;0;;
2020.01.02 01:00:04.532;2020.01.02 01:00:04.533;1517,74;1517,75;1517,74;1517,75;0;;
2020.01.02 01:00:04.534;2020.01.02 01:00:04.535;1517,75;1517,76;1517,75;1517,76;0;;
2020.01.02 01:00:04.536;2020.01.02 01:00:04.537;1517,76;1517,77;1517,76;1517,77;0;;
2020.01.02 01:00:04.538;2020.01.02 01:00:04.539;1517,77;1517,78;1517,77;1517,78;0;;
2020.01.02 01:00:04.540;2020.01.02 01:00:04.541;1517,78;1517,79;1517,78;1517,79;0;;
2020.01.02 01:00:04.542;2020.01.02 01:00:04.543;1517,79;1517,8;1517,79;1517,8;0;;
2020.01.02 01:00:04.544;2020.01.02 01:00:04.545;1517,8;1517,81;1517,8;1517,81;0;;
2020.01.02 01:00:04.546;2020.01.02 01:00:04.547;1517,81;1517,82;1517,81;1517,82;0;;
2020.01.02 01:00:04.548;2020.01.02 01:00:04.549;1517,82;1517,83;1517,82;1517,83;0;;
2020.01.02 01:00:04.550;2020.01.02 01:00:04.551;1517,83;1517,84;1517,83;1517,84;0;;
2020.01.02 01:00:04.552;2020.01.02 01:00:04.553;1517,84;1517,85;1517,84;1517,85;0;;
2020.01.02 01:00:04.554;2020.01.02 01:00:04.555;1517,85;1517,86;1517,85;1517,86;0;;
2020.01.02 01:00:04.556;2020.01.02 01:00:04.557;1517,86;1517,87;1517,86;1517,87;0;;
2020.01.02 01:00:04.558;2020.01.02 01:00:04.559;1517,87;1517,88;1517,87;1517,88;0;;
2020.01.02 01:00:04.560;2020.01.02 01:00:04.561;1517,88;1517,89;1517,88;1517,89;0;;
2020.01.02 01:00:04.562;2020.01.02 01:00:04.563;1517,89;1517,9;1517,89;1517,9;0;;
2020.01.02 01:00:04.564;2020.01.02 01:00:04.565;1517,9;1517,91;1517,9;1517,91;0;;
2020.01.02 01:00:04.566;2020.01.02 01:00:04.567;1517,91;1517,92;1517,91;1517,92;0;;
2020.01.02 01:00:04.568;2020.01.02 01:00:04.569;1517,92;1517,93;1517,92;1517,93;0;;
2020.01.02 01:00:04.570;2020.01.02 01:00:04.571;1517,93;1517,94;1517,93;1517,94;0;;
2020.01.02 01:00:04.572;2020.01.02 01:00:04.573;1517,94;1517,95;1517,94;1517,95;0;;
2020.01.02 01:00:04.574;2020.01.02 01:00:04.575;1517,95;1517,96;1517,95;1517,96;0;;
2020.01.02 01:00:04.576;2020.01.02 01:00:04.577;1517,96;1517,97;1517,96;1517,97;0;;
2020.01.02 01:00:04.578;2020.01.02 01:00:04.579;1517,97;1517,98;1517,97;1517,98;0;;
2020.01.02 01:00:04.580;2020.01.02 01:00:04.581;1517,98;1517,99;1517,98;1517,99;0;;
2020.01.02 01:00:04.582;2020.01.02 01:00:04.583;1517,99;1518;1517,99;1518;0;;
2020.01.02 01:00:04.584;2020.01.02 01:00:04.585;1518;1518,01;1518;1518,01;0;;
2020.01.02 01:00:04.586;2020.01.02 01:00:04.587;1518,01;1518,02;1518,01;1518,02;0;;
2020.01.02 01:00:04.588;2020.01.02 01:00:04.589;1518,02;1518,03;1518,02;1518,03;0;;
2020.01.02 01:00:04.590;2020.01.02 01:00:04.591;1518,03;1518,04;1518,03;1518,04;0;;
2020.01.02 01:00:04.592;2020.01.02 01:00:04.593;1518,04;1518,05;1518,04;1518,05;0;;
2020.01.02 01:00:04.594;2020.01.02 01:00:04.595;1518,05;1518,06;1518,05;1518,06;0;;
2020.01.02 01:00:04.596;2020.01.02 01:00:04.597;1518,06;1518,07;1518,06;1518,07;0;;
2020.01.02 01:00:04.598;2020.01.02 01:00:04.599;1518,07;1518,08;1518,07;1518,08;0;;
2020.01.02 01:00:04.600;2020.01.02 01:00:04.601;1518,08;1518,09;1518,08;1518,09;0;;
2020.01.02 01:00:04.602;2020.01.02 01:00:04.603;1518,09;1518,1;1518,09;1518,1;0;;
2020.01.02 01:00:04.604;2020.01.02 01:00:04.605;1518,1;1518,11;1518,1;1518,11;0;;
2020.01.02 01:00:04.606;2020.01.02 01:00:04.607;1518,11;1518,12;1518,11;1518,12;0;;
2020.01.02 01:00:04.608;2020.01.02 01:00:04.609;1518,12;1518,13;1518,12;1518,13;0;;
2020.01.02 01:00:04.610;2020.01.02 01:00:04.611;1518,13;1518,14;1518,13;1518,14;0;;
2020.01.02 01:00:04.612;2020.01.02 01:00:04.613;1518,14;1518,15;1518,14;1518,15;0;;
2020.01.02 01:00:04.614;2020.01.02 01:00:04.615;1518,15;1518,16;1518,15;1518,16;0;;
2020.01.02 01:00:04.616;2020.01.02 01:00:04.617;1518,16;1518,17;1518,16;1518,17;0;;
2020.01.02 01:00:04.618;2020.01.02 01:00:04.619;1518,17;1518,18;1518,17;1518,18;0;;
2020.01.02 01:00:04.620;2020.01.02 01:00:04.621;1518,18;1518,19;1518,18;1518,19;0;;
2020.01.02 01:00:04.622;2020.01.02 01:00:04.623;1518,19;1518,2;1518,19;1518,2;0;;
2020.01.02 01:00:04.624;2020.01.02 01:00:04.625;1518,2;1518,21;1518,2;1518,21;0;;
2020.01.02 01:00:04.626;2020.01.02 01:00:04.627;1518,21;1518,22;1518,21;1518,22;0;;
2020.01.02 01:00:04.628;2020.01.02 01:00:04.629;1518,22;1518,23;1518,22;1518,23;0;;
2020.01.02 01:00:04.630;2020.01.02 01:00:04.631;1518,23;1518,24;1518,23;1518,24;0;;
2020.01.02 01:00:04.632;2020.01.02 01:00:04.633;1518,24;1518,25;1518,24;1518,25;0;;
2020.01.02 01:00:04.634;2020.01.02 01:00:04.635;1518,25;1518,26;1518,25;1518,26;0;;
2020.01.02 01:00:04.636;2020.01.02 01:00:04.637;1518,26;1518,27;1518,26;1518,27;0;;
2020.01.02 01:00:04.638;2020.01.02 01:00:04.639;1518,27;1518,28;1518,27;1518,28;0;;
2020.01.02 01:00:04.640;2020.01.02 01:00:04.641;1518,28;1518,29;1518,28;1518,29;0;;
2020.01.02 01:00:04.642;2020.01.02 01:00:04.643;1518,29;1518,3;1518,29;1518,3;0;;
2020.01.02 01:00:04.644;2020.01.02 01:00:04.645;1518,3;1518,31;1518,3;1518,31;0;;
2020.01.02 01:00:04.646;2020.01.02 01:00:04.647;1518,31;1518,32;1518,31;1518,32;0;;
2020.01.02 01:00:04.648;2020.01.02 01:00:04.649;1518,32;1518,33;1518,32;1518,33;0;;
2020.01.02 01:00:04.650;2020.01.02 01:00:04.651;1518,33;1518,34;1518,33;1518,34;0;;
2020.01.02 01:00:04.652;2020.01.02 01:00:04.653;1518,34;1518,35;1518,34;1518,35;0;;
2020.01.02 01:00:04.654;2020.01.02 01:00:04.655;1518,35;1518,36;1518,35;1518,36;0;;
2020.01.02 01:00:04.656;2020.01.02 01:00:04.657;1518,36;1518,37;1518,36;1518,37;0;;
2020.01.02 01:00:04.658;2020.01.02 01:00:04.659;1518,37;1518,38;1518,37;1518,38;0;;
2020.01.02 01:00:04.660;2020.01.02 01:00:04.661;1518,38;1518,39;1518,38;1518,39;0;;
2020.01.02 01:00:04.662;2020.01.02 01:00:04.663;1518,39;1518,4;1518,39;1518,4;0;;
2020.01.02 01:00:04.664;2020.01.02 01:00:04.665;1518,4;1518,41;1518,4;1518,41;0;;
2020.01.02 01:00:04.666;2020.01.02 01:00:04.667;1518,41;1518,42;1518,41;1518,42;0;;
2020.01.02 01:00:04.668;2020.01.02 01:00:04.669;1518,42;1518,43;1518,42;1518,43;0;;
2020.01.02 01:00:04.670;2020.01.02 01:00:04.671;1518,43;1518,44;1518,43;1518,44;0;;
2020.01.02 01:00:04.672;2020.01.02 01:00:04.673;1518,44;1518,45;1518,44;1518,45;0;;
2020.01.02 01:00:04.674;2020.01.02 01:00:04.675;1518,45;1518,46;1518,45;1518,46;0;;
2020.01.02 01:00:04.676;2020.01.02 01:00:04.677;1518,46;1518,47;1518,46;1518,47;0;;
2020.01.02 01:00:04.678;2020.01.02 01:00:04.679;1518,47;1518,48;1518,47;1518,48;0;;
2020.01.02 01:00:04.680;2020.01.02 01:00:04.681;1518,48;1518,49;1518,48;1518,49;0;;
2020.01.02 01:00:04.682;2020.01.02 01:00:04.683;1518,49;1518,5;1518,49;1518,5;0;;
2020.01.02 01:00:04.684;2020.01.02 01:00:04.685;1518,5;1518,51;1518,5;1518,51;0;;
2020.01.02 01:00:04.686;2020.01.02 01:00:04.687;1518,51;1518,52;1518,51;1518,52;0;;
2020.01.02 01:00:04.688;2020.01.02 01:00:04.689;1518,52;1518,53;1518,52;1518,53;0;;
2020.01.02 01:00:04.690;2020.01.02 01:00:04.691;1518,53;1518,54;1518,53;1518,54;0;;
2020.01.02 01:00:04.692;2020.01.02 01:00:04.693;1518,54;1518,55;1518,54;1518,55;0;;
2020.01.02 01:00:04.694;2020.01.02 01:00:04.695;1518,55;1518,56;1518,55;1518,56;0;;
2020.01.02 01:00:04.696;2020.01.02 01:00:04.697;1518,56;1518,57;1518,56;1518,57;0;;
2020.01.02 01:00:04.698;2020.01.02 01:00:04.699;1518,57;1518,58;1518,57;1518,58;0;;
2020.01.02 01:00:04.700;2020.01.02 01:00:04.701;1518,58;1518,59;1518,58;1518,59;0;;
2020.01.02 01:00:04.702;2020.01.02 01:00:04.703;1518,59;1518,6;1518,59;1518,6;0;;
2020.01.02 01:00:04.704;2020.01.02 01:00:04.705;1518,6;1518,61;1518,6;1518,61;0;;
2020.01.02 01:00:04.706;2020.01.02 01:00:04.707;1518,61;1518,62;1518,61;1518,62;0;;
2020.01.02 01:00:04.708;2020.01.02 01:00:04.709;1518,62;1518,63;1518,62;1518,63;0;;
2020.01.02 01:00:04.710;2020.01.02 01:00:04.711;1518,63;1518,64;1518,63;1518,64;0;;
2020.01.02 01:00:04.712;2020.01.02 01:00:04.713;1518,64;1518,65;1518,64;1518,65;0;;
2020.01.02 01:00:04.714;2020.01.02 01:00:04.715;1518,65;1518,66;1518,65;1518,66;0;;
2020.01.02 01:00:04.716;2020.01.02 01:00:04.717;1518,66;1518,67;1518,66;1518,67;0;;
2020.01.02 01:00:04.718;2020.01.02 01:00:04.719;1518,67;1518,68;1518,67;1518,68;0;;
2020.01.02 01:00:04.720;2020.01.02 01:00:04.721;1518,68;1518,69;1518,68;1518,69;0;;
2020.01.02 01:00:04.722;2020.01.02 01:00:04.723;1518,69;1518,7;1518,69;1518,7;0;;
2020.01.02 01:00:04.724;2020.01.02 01:00:04.725;1518,7;1518,71;1518,7;1518,71;0;;
2020.01.02 01:00:04.726;2020.01.02 01:00:04.727;1518,71;1518,72;1518,71;1518,72;0;;
2020.01.02 01:00:04.728;2020.01.02 01:00:04.729;1518,72;1518,73;1518,72;1518,73;0;;
2020.01.02 01:00:04.730;2020.01.02 01:00:04.731;1518,73;1518,74;1518,73;1518,74;0;;
2020.01.02 01:00:04.732;2020.01.02 01:00:04.733;1518,74;1518,75;1518,74;1518,75;0;;
2020.01.02 01:00:04.734;2020.01.02 01:00:04.735;1518,75;1518,76;1518,75;1518,76;0;;1518,768
2020.01.02 01:00:04.736;2020.01.02 01:00:04.820;1518,76;1518,77;1518,76;1518,77;0,00037;;
2020.01.02 01:00:04.821;2020.01.02 01:00:04.822;1518,77;1518,78;1518,77;1518,78;0;;
2020.01.02 01:00:04.823;2020.01.02 01:00:04.824;1518,78;1518,79;1518,78;1518,79;0;;
2020.01.02 01:00:04.825;2020.01.02 01:00:04.826;1518,79;1518,8;1518,79;1518,8;0;;
2020.01.02 01:00:04.827;2020.01.02 01:00:04.828;1518,8;1518,81;1518,8;1518,81;0;;
2020.01.02 01:00:04.829;2020.01.02 01:00:04.830;1518,81;1518,82;1518,81;1518,82;0;;
2020.01.02 01:00:04.831;2020.01.02 01:00:04.832;1518,82;1518,83;1518,82;1518,83;0;;
2020.01.02 01:00:04.833;2020.01.02 01:00:04.834;1518,83;1518,84;1518,83;1518,84;0;;
2020.01.02 01:00:04.835;2020.01.02 01:00:04.836;1518,84;1518,85;1518,84;1518,85;0;;1518,858
2020.01.02 01:00:04.837;2020.01.02 01:00:04.930;1518,85;1518,86;1518,85;1518,86;0,00037;;
2020.01.02 01:00:04.931;2020.01.02 01:00:04.932;1518,86;1518,87;1518,86;1518,87;0;;
2020.01.02 01:00:04.933;2020.01.02 01:00:04.934;1518,87;1518,88;1518,87;1518,88;0;;
2020.01.02 01:00:04.935;2020.01.02 01:00:04.936;1518,88;1518,89;1518,88;1518,89;0;;
2020.01.02 01:00:04.937;2020.01.02 01:00:04.938;1518,89;1518,9;1518,89;1518,9;0;;1518,908
2020.01.02 01:00:04.939;2020.01.02 01:00:05.228;1518,9;1518,91;1518,9;1518,91;0,00037;;
2020.01.02 01:00:05.229;2020.01.02 01:00:05.230;1518,91;1518,92;1518,91;1518,92;0;;
2020.01.02 01:00:05.231;2020.01.02 01:00:05.232;1518,92;1518,93;1518,92;1518,93;0;;
2020.01.02 01:00:05.233;2020.01.02 01:00:05.234;1518,93;1518,94;1518,93;1518,94;0;;
2020.01.02 01:00:05.235;2020.01.02 01:00:05.236;1518,94;1518,95;1518,94;1518,95;0;;
2020.01.02 01:00:05.237;2020.01.02 01:00:05.238;1518,95;1518,96;1518,95;1518,96;0;;1518,968
2020.01.02 01:00:05.239;2020.01.02 01:00:05.547;1518,96;1518,97;1518,96;1518,97;0,00037;;
2020.01.02 01:00:05.548;2020.01.02 01:00:05.549;1518,97;1518,98;1518,97;1518,98;0;;
2020.01.02 01:00:05.550;2020.01.02 01:00:05.551;1518,98;1518,99;1518,98;1518,99;0;;
2020.01.02 01:00:05.552;2020.01.02 01:00:05.553;1518,99;1519;1518,99;1519;0;;
2020.01.02 01:00:05.554;2020.01.02 01:00:05.555;1519;1519,01;1519;1519,01;0;;
2020.01.02 01:00:05.556;2020.01.02 01:00:05.557;1519,01;1519,02;1519,01;1519,02;0;;
2020.01.02 01:00:05.558;2020.01.02 01:00:05.559;1519,02;1519,03;1519,02;1519,03;0;;1519,038
2020.01.02 01:00:05.560;2020.01.02 01:00:05.916;1519,03;1519,04;1519,03;1519,04;0,00037;;
2020.01.02 01:00:05.917;2020.01.02 01:00:05.918;1519,04;1519,05;1519,04;1519,05;0;;
2020.01.02 01:00:05.919;2020.01.02 01:00:05.920;1519,05;1519,06;1519,05;1519,06;0;;
2020.01.02 01:00:05.921;2020.01.02 01:00:05.922;1519,06;1519,07;1519,06;1519,07;0;;
2020.01.02 01:00:05.923;2020.01.02 01:00:05.924;1519,07;1519,08;1519,07;1519,08;0;;1519,088
2020.01.02 01:00:05.925;2020.01.02 01:00:06.378;1519,08;1519,09;1519,08;1519,09;0,00037;;
2020.01.02 01:00:06.379;2020.01.02 01:00:06.380;1519,09;1519,1;1519,09;1519,1;0;;
2020.01.02 01:00:06.381;2020.01.02 01:00:06.382;1519,1;1519,11;1519,1;1519,11;0;;
2020.01.02 01:00:06.383;2020.01.02 01:00:06.384;1519,11;1519,12;1519,11;1519,12;0;;
2020.01.02 01:00:06.385;2020.01.02 01:00:06.386;1519,12;1519,13;1519,12;1519,13;0;;
2020.01.02 01:00:06.387;2020.01.02 01:00:06.388;1519,13;1519,14;1519,13;1519,14;0;;
2020.01.02 01:00:06.389;2020.01.02 01:00:06.390;1519,14;1519,15;1519,14;1519,15;0;;
2020.01.02 01:00:06.391;2020.01.02 01:00:06.392;1519,15;1519,16;1519,15;1519,16;0;;
2020.01.02 01:00:06.393;2020.01.02 01:00:06.394;1519,16;1519,17;1519,16;1519,17;0;;
2020.01.02 01:00:06.395;2020.01.02 01:00:06.396;1519,17;1519,18;1519,17;1519,18;0;;
2020.01.02 01:00:06.397;2020.01.02 01:00:06.398;1519,18;1519,19;1519,18;1519,19;0;;
2020.01.02 01:00:06.399;2020.01.02 01:00:06.400;1519,19;1519,2;1519,19;1519,2;0;;
2020.01.02 01:00:06.401;2020.01.02 01:00:06.402;1519,2;1519,21;1519,2;1519,21;0;;
2020.01.02 01:00:06.403;2020.01.02 01:00:06.404;1519,21;1519,22;1519,21;1519,22;0;;
2020.01.02 01:00:06.405;2020.01.02 01:00:06.406;1519,22;1519,23;1519,22;1519,23;0;;
2020.01.02 01:00:06.407;2020.01.02 01:00:06.408;1519,23;1519,24;1519,23;1519,24;0;;
2020.01.02 01:00:06.409;2020.01.02 01:00:06.410;1519,24;1519,25;1519,24;1519,25;0;;
