Time (EET);Open;High;Low;Close;Volume
2020.01.02 01:00:00;1518.768;1520.675;1518.768;1519.895;0.02014
2020.01.02 01:01:00;1519.875;1520.335;1519.595;1520.315;0.0088
2020.01.02 01:02:00;1520.285;1520.305;1520.035;1520.205;0.0064
2020.01.02 01:03:00;1520.185;1520.275;1520.015;1520.275;0.0039
2020.01.02 01:04:00;1520.325;1520.685;1520.195;1520.505;0.00767
2020.01.02 01:05:00;1520.485;1520.785;1520.355;1520.735;0.006
2020.01.02 01:06:00;1520.705;1520.725;1520.565;1520.725;0.00227
2020.01.02 01:07:00;1520.785;1520.975;1520.785;1520.955;0.0019
2020.01.02 01:08:00;1520.968;1521.015;1520.718;1520.865;0.00374
2020.01.02 01:09:00;1520.835;1521.068;1520.688;1520.838;0.01334
2020.01.02 01:10:00;1520.768;1520.768;1520.108;1520.108;0.02132
2020.01.02 01:11:00;1520.098;1520.328;1519.928;1520.318;0.01931
2020.01.02 01:12:00;1520.308;1520.308;1519.818;1519.908;0.01845
2020.01.02 01:13:00;1519.908;1519.908;1519.398;1519.658;0.01897
2020.01.02 01:14:00;1519.748;1519.968;1519.728;1519.758;0.0168
2020.01.02 01:15:00;1519.758;1519.858;1519.658;1519.758;0.00661
2020.01.02 01:16:00;1519.758;1519.958;1519.658;1519.958;0.00684
2020.01.02 01:17:00;1519.958;1520.158;1519.958;1520.148;0.01052
2020.01.02 01:18:00;1520.248;1520.288;1519.878;1519.888;0.01597
2020.01.02 01:19:00;1519.878;1519.948;1519.718;1519.868;0.00721
2020.01.02 01:20:00;1519.888;1519.888;1519.778;1519.788;0.00632
2020.01.02 01:21:00;1519.738;1519.738;1519.528;1519.568;0.02255
2020.01.02 01:22:00;1519.558;1519.878;1519.558;1519.858;0.00744
2020.01.02 01:23:00;1519.828;1519.828;1519.658;1519.678;0.0055
2020.01.02 01:24:00;1519.668;1519.668;1519.408;1519.458;0.01062
2020.01.02 01:25:00;1519.538;1519.828;1519.458;1519.818;0.01362
2020.01.02 01:26:00;1519.808;1519.818;1519.518;1519.618;0.00632
2020.01.02 01:27:00;1519.628;1519.628;1519.358;1519.388;0.01161
2020.01.02 01:28:00;1519.398;1519.478;1519.288;1519.318;0.01032
2020.01.02 01:29:00;1519.298;1519.618;1519.168;1519.598;0.0137
2020.01.02 01:30:00;1519.588;1519.778;1519.578;1519.578;0.00906
2020.01.02 01:31:00;1519.528;1519.528;1519.318;1519.478;0.00524
2020.01.02 01:32:00;1519.488;1519.578;1519.478;1519.478;0.00302
2020.01.02 01:33:00;1519.478;1519.478;1519.478;1519.478;0.00044
2020.01.02 01:34:00;1519.488;1519.488;1519.298;1519.298;0.00501
2020.01.02 01:35:00;1519.298;1519.518;1518.978;1518.978;0.00805
2020.01.02 01:36:00;1518.978;1518.978;1518.768;1518.978;0.00449
2020.01.02 01:37:00;1518.978;1519.178;1518.878;1519.078;0.00747
2020.01.02 01:38:00;1519.078;1519.078;1518.978;1518.978;0.00574
2020.01.02 01:39:00;1519.038;1519.278;1519.038;1519.278;0.00478
2020.01.02 01:40:00;1519.288;1519.508;1519.248;1519.378;0.00737
2020.01.02 01:41:00;1519.388;1519.608;1519.388;1519.518;0.01497
2020.01.02 01:42:00;1519.508;1519.508;1519.378;1519.378;0.00529
2020.01.02 01:43:00;1519.378;1519.388;1519.178;1519.178;0.00523
2020.01.02 01:44:00;1519.138;1519.388;1519.108;1519.328;0.01377
2020.01.02 01:45:00;1519.328;1519.328;1519.008;1519.008;0.00655
2020.01.02 01:46:00;1519.005;1519.088;1518.988;1518.998;0.00585
2020.01.02 01:47:00;1518.988;1518.988;1518.478;1518.478;0.01881
2020.01.02 01:48:00;1518.548;1518.768;1518.548;1518.718;0.01016
2020.01.02 01:49:00;1518.708;1518.708;1518.408;1518.588;0.01207
2020.01.02 01:50:00;1518.578;1518.618;1518.478;1518.578;0.00492
2020.01.02 01:51:00;1518.588;1518.725;1518.578;1518.688;0.00596
2020.01.02 01:52:00;1518.698;1518.768;1518.578;1518.735;0.0082
2020.01.02 01:53:00;1518.768;1518.795;1518.578;1518.578;0.01037
2020.01.02 01:54:00;1518.578;1518.678;1518.478;1518.628;0.01952
2020.01.02 01:55:00;1518.628;1518.698;1518.468;1518.588;0.01847
2020.01.02 01:56:00;1518.578;1518.588;1518.418;1518.488;0.01607
2020.01.02 01:57:00;1518.498;1518.628;1518.488;1518.508;0.00805
2020.01.02 01:58:00;1518.498;1518.508;1518.185;1518.185;0.00611
2020.01.02 01:59:00;1518.278;1518.385;1518.075;1518.285;0.01012
2020.01.02 02:00:00;1518.305;1518.755;1518.008;1518.715;0.02842
2020.01.02 02:01:00;1518.695;1518.758;1518.648;1518.648;0.01955
2020.01.02 02:02:00;1518.605;1518.605;1518.318;1518.548;0.01282
2020.01.02 02:03:00;1518.528;1518.588;1518.425;1518.558;0.01758
2020.01.02 02:04:00;1518.568;1518.748;1518.568;1518.708;0.01301
2020.01.02 02:05:00;1518.665;1518.665;1518.168;1518.475;0.01519
2020.01.02 02:06:00;1518.465;1518.555;1518.418;1518.555;0.00763
2020.01.02 02:07:00;1518.575;1518.665;1518.485;1518.665;0.01299
2020.01.02 02:08:00;1518.608;1518.885;1518.578;1518.865;0.01214
2020.01.02 02:09:00;1518.885;1518.885;1518.708;1518.765;0.00955
2020.01.02 02:10:00;1518.765;1518.765;1518.525;1518.635;0.00621
2020.01.02 02:11:00;1518.615;1518.785;1518.515;1518.775;0.01229
2020.01.02 02:12:00;1518.765;1518.905;1518.765;1518.865;0.01236
2020.01.02 02:13:00;1518.925;1518.965;1518.815;1518.825;0.00459
2020.01.02 02:14:00;1518.825;1519.075;1518.768;1519.055;0.01673
2020.01.02 02:15:00;1519.025;1519.068;1518.898;1518.968;0.01063
2020.01.02 02:16:00;1519.015;1519.068;1518.568;1518.768;0.01996
2020.01.02 02:17:00;1518.868;1518.868;1518.605;1518.695;0.01502
2020.01.02 02:18:00;1518.715;1519.035;1518.705;1519.005;0.01613
2020.01.02 02:19:00;1519.015;1519.195;1519.005;1519.125;0.01732
2020.01.02 02:20:00;1519.115;1519.125;1519.085;1519.105;0.01258
2020.01.02 02:21:00;1519.175;1519.305;1519.105;1519.305;0.01369
2020.01.02 02:22:00;1519.295;1519.295;1518.975;1518.975;0.02109
2020.01.02 02:23:00;1519.005;1519.115;1518.868;1519.075;0.01926
2020.01.02 02:24:00;1519.075;1519.195;1519.075;1519.175;0.00659
2020.01.02 02:25:00;1519.175;1519.265;1519.125;1519.265;0.00333
2020.01.02 02:26:00;1519.275;1519.275;1519.165;1519.185;0.00726
2020.01.02 02:27:00;1519.175;1519.225;1519.085;1519.085;0.01436
2020.01.02 02:28:00;1519.065;1519.205;1519.065;1519.185;0.00333
2020.01.02 02:29:00;1519.205;1519.285;1519.185;1519.205;0.00541
2020.01.02 02:30:00;1519.185;1519.285;1519.185;1519.265;0.00689
2020.01.02 02:31:00;1519.245;1519.245;1519.045;1519.155;0.01607
2020.01.02 02:32:00;1519.155;1519.155;1518.955;1518.955;0.00896
2020.01.02 02:33:00;1518.875;1519.045;1518.825;1518.855;0.01157
2020.01.02 02:34:00;1518.908;1519.208;1518.908;1519.115;0.01471
2020.01.02 02:35:00;1519.055;1519.125;1518.925;1519.008;0.00947
2020.01.02 02:36:00;1519.015;1519.055;1518.935;1519.055;0.00284
2020.01.02 02:37:00;1519.025;1519.125;1518.875;1518.935;0.00788
2020.01.02 02:38:00;1518.935;1519.108;1518.845;1519.045;0.00653
2020.01.02 02:39:00;1519.008;1519.025;1518.915;1519.008;0.00282
2020.01.02 02:40:00;1518.955;1518.955;1518.845;1518.915;0.00425
2020.01.02 02:41:00;1518.908;1518.945;1518.845;1518.915;0.00397
2020.01.02 02:42:00;1518.915;1518.915;1518.668;1518.675;0.01549
2020.01.02 02:43:00;1518.668;1518.685;1518.3;1518.3;0.02213
2020.01.02 02:44:00;1518.3;1518.425;1518.3;1518.385;0.01466
2020.01.02 02:45:00;1518.408;1518.585;1518.3;1518.585;0.01991
2020.01.02 02:46:00;1518.575;1518.625;1518.565;1518.625;0.01221
2020.01.02 02:47:00;1518.665;1518.755;1518.655;1518.705;0.004
2020.01.02 02:48:00;1518.708;1518.735;1518.555;1518.595;0.02032
2020.01.02 02:49:00;1518.595;1518.595;1518.355;1518.485;0.0151
2020.01.02 02:50:00;1518.485;1518.505;1518.435;1518.465;0.00388
2020.01.02 02:51:00;1518.465;1518.465;1518.3;1518.3;0.00294
2020.01.02 02:52:00;1518.3;1518.3;1518.3;1518.3;0.002
2020.01.02 02:53:00;1518.3;1518.3;1518.3;1518.3;0.0024
2020.01.02 02:54:00;1518.3;1518.345;1518.3;1518.345;0.00314
2020.01.02 02:55:00;1518.365;1518.535;1518.355;1518.495;0.00851
2020.01.02 02:56:00;1518.485;1518.495;1518.445;1518.485;0.00918
2020.01.02 02:57:00;1518.485;1518.505;1518.375;1518.395;0.0074
2020.01.02 02:58:00;1518.405;1518.485;1518.385;1518.415;0.01059
2020.01.02 02:59:00;1518.435;1518.755;1518.435;1518.625;0.01473
2020.01.02 03:00:00;1518.605;1519.045;1517.115;1518.865;0.11838
2020.01.02 03:01:00;1518.845;1519.655;1518.845;1519.545;0.05219
2020.01.02 03:02:00;1519.535;1519.545;1518.735;1518.835;0.06432
2020.01.02 03:03:00;1518.835;1518.835;1518.345;1518.465;0.06867
2020.01.02 03:04:00;1518.445;1518.445;1518.025;1518.075;0.0382
2020.01.02 03:05:00;1518.095;1518.115;1517.725;1517.875;0.0492
2020.01.02 03:06:00;1517.895;1518.245;1517.895;1518.085;0.04084
2020.01.02 03:07:00;1518.085;1518.575;1518.065;1518.505;0.03015
2020.01.02 03:08:00;1518.515;1518.785;1518.475;1518.785;0.02208
2020.01.02 03:09:00;1518.805;1519.155;1518.735;1519.065;0.03836
2020.01.02 03:10:00;1519.085;1519.365;1518.935;1519.345;0.01533
2020.01.02 03:11:00;1519.408;1519.465;1519.125;1519.245;0.02029
2020.01.02 03:12:00;1519.235;1519.255;1519.065;1519.145;0.01247
2020.01.02 03:13:00;1519.125;1519.235;1518.965;1519.175;0.00925
2020.01.02 03:14:00;1519.185;1519.235;1518.945;1519.135;0.01815
2020.01.02 03:15:00;1519.125;1519.235;1519.045;1519.135;0.01063
2020.01.02 03:16:00;1519.155;1519.315;1519.145;1519.235;0.01008
2020.01.02 03:17:00;1519.255;1519.555;1519.245;1519.545;0.02591
2020.01.02 03:18:00;1519.485;1520.095;1519.485;1519.935;0.0315
2020.01.02 03:19:00;1520.008;1520.765;1520.008;1520.745;0.05788
2020.01.02 03:20:00;1520.808;1520.835;1520.475;1520.535;0.03991
2020.01.02 03:21:00;1520.535;1520.625;1520.505;1520.535;0.02683
2020.01.02 03:22:00;1520.518;1520.535;1520.165;1520.308;0.03901
2020.01.02 03:23:00;1520.318;1520.318;1520.055;1520.238;0.025
2020.01.02 03:24:00;1520.235;1520.235;1520.108;1520.208;0.015
2020.01.02 03:25:00;1520.208;1520.308;1520.108;1520.145;0.01562
2020.01.02 03:26:00;1520.125;1520.215;1519.925;1519.925;0.01033
2020.01.02 03:27:00;1519.928;1520.108;1519.855;1519.935;0.01274
2020.01.02 03:28:00;1519.925;1520.108;1519.918;1520.108;0.01207
2020.01.02 03:29:00;1520.045;1520.108;1519.935;1519.935;0.0097
2020.01.02 03:30:00;1519.935;1520.055;1519.725;1519.965;0.01413
2020.01.02 03:31:00;1519.955;1520.208;1519.885;1520.135;0.01417
2020.01.02 03:32:00;1520.135;1520.218;1519.918;1520.008;0.01975
2020.01.02 03:33:00;1519.938;1520.108;1519.918;1520.028;0.01686
2020.01.02 03:34:00;1520.038;1520.218;1520.018;1520.028;0.02524
2020.01.02 03:35:00;1520.038;1520.318;1520.018;1520.028;0.02743
2020.01.02 03:36:00;1520.038;1520.038;1519.908;1519.928;0.01667
2020.01.02 03:37:00;1519.918;1519.918;1519.715;1519.728;0.0127
2020.01.02 03:38:00;1519.728;1519.818;1519.708;1519.728;0.02238
2020.01.02 03:39:00;1519.808;1519.818;1519.508;1519.518;0.02831
2020.01.02 03:40:00;1519.518;1519.808;1519.508;1519.618;0.01422
2020.01.02 03:41:00;1519.638;1519.818;1519.525;1519.525;0.014
2020.01.02 03:42:00;1519.428;1519.608;1519.418;1519.518;0.01526
2020.01.02 03:43:00;1519.528;1519.628;1519.338;1519.408;0.01126
2020.01.02 03:44:00;1519.328;1519.518;1519.308;1519.518;0.01638
2020.01.02 03:45:00;1519.608;1519.728;1519.608;1519.635;0.01018
2020.01.02 03:46:00;1519.618;1519.708;1519.608;1519.618;0.01098
2020.01.02 03:47:00;1519.628;1519.708;1519.335;1519.335;0.01342
2020.01.02 03:48:00;1519.3;1519.318;1519.3;1519.3;0.00324
2020.01.02 03:49:00;1519.308;1519.408;1519.3;1519.3;0.01574
2020.01.02 03:50:00;1519.3;1519.3;1519.008;1519.085;0.01376
2020.01.02 03:51:00;1519.085;1519.085;1518.875;1518.965;0.01226
2020.01.02 03:52:00;1519.008;1519.108;1518.955;1519.108;0.01212
2020.01.02 03:53:00;1519.108;1519.245;1519.045;1519.155;0.01696
2020.01.02 03:54:00;1519.155;1519.408;1519.108;1519.365;0.01637
2020.01.02 03:55:00;1519.345;1519.455;1519.255;1519.295;0.02536
2020.01.02 03:56:00;1519.285;1519.408;1519.265;1519.365;0.01051
2020.01.02 03:57:00;1519.385;1519.808;1519.385;1519.765;0.01608
2020.01.02 03:58:00;1519.785;1519.785;1519.665;1519.665;0.0083
2020.01.02 03:59:00;1519.685;1519.708;1519.335;1519.365;0.01464
2020.01.02 04:00:00;1519.345;1519.365;1518.955;1519.245;0.03654
2020.01.02 04:01:00;1519.245;1519.245;1518.705;1518.765;0.0315
2020.01.02 04:02:00;1518.785;1518.845;1518.335;1518.508;0.05999
2020.01.02 04:03:00;1518.485;1518.675;1518.408;1518.665;0.03422
2020.01.02 04:04:00;1518.665;1518.665;1518.375;1518.475;0.02878
2020.01.02 04:05:00;1518.455;1519.008;1518.455;1518.965;0.02475
2020.01.02 04:06:00;1518.965;1518.965;1518.765;1518.855;0.0214
2020.01.02 04:07:00;1518.855;1518.965;1518.775;1518.908;0.01252
2020.01.02 04:08:00;1518.865;1519.045;1518.835;1519.008;0.00726
2020.01.02 04:09:00;1519.008;1519.075;1518.875;1518.965;0.0161
2020.01.02 04:10:00;1518.945;1519.025;1518.875;1519.008;0.0147
2020.01.02 04:11:00;1519.025;1519.065;1518.975;1518.975;0.01336
2020.01.02 04:12:00;1518.995;1519.235;1518.995;1519.108;0.01542
2020.01.02 04:13:00;1519.115;1519.125;1519.065;1519.115;0.0061
2020.01.02 04:14:00;1519.135;1519.135;1519.045;1519.065;0.01561
2020.01.02 04:15:00;1519.108;1519.208;1519.085;1519.208;0.00565
2020.01.02 04:16:00;1519.185;1519.265;1518.985;1519.265;0.01308
2020.01.02 04:17:00;1519.245;1519.355;1519.235;1519.308;0.01241
2020.01.02 04:18:00;1519.285;1519.385;1519.225;1519.325;0.01222
2020.01.02 04:19:00;1519.365;1519.495;1519.315;1519.495;0.01326
2020.01.02 04:20:00;1519.485;1519.615;1519.475;1519.615;0.00726
