Time (EET);Open;High;Low;Close;Volume
2020.01.02 01:00:00;1519.592;1522.125;1519.435;1519.875;0.50661
2020.01.02 01:30:00;1519.875;1520.045;1518.332;1518.595;0.39193
2020.01.02 02:00:00;1518.605;1519.562;1518.305;1519.452;0.36151
2020.01.02 02:30:00;1519.452;1519.555;1518.392;1518.845;0.28734
2020.01.02 03:00:00;1518.845;1521.125;1517.392;1520.215;0.93533
2020.01.02 03:30:00;1520.205;1520.555;1519.112;1519.612;0.54157
2020.01.02 04:00:00;1519.612;1519.892;1518.612;1519.792;0.49064
2020.01.02 04:30:00;1519.825;1521.125;1519.692;1520.812;0.46045
2020.01.02 05:00:00;1520.835;1521.402;1520.232;1520.492;0.38601
2020.01.02 05:30:00;1520.512;1520.802;1520.012;1520.545;0.19397
2020.01.02 06:00:00;1520.532;1520.635;1520.032;1520.075;0.10499
2020.01.02 06:30:00;1520.075;1520.332;1519.755;1519.755;0.17676
2020.01.02 07:00:00;1519.695;1520.002;1519.165;1519.695;0.23506
2020.01.02 07:30:00;1519.695;1520.615;1519.245;1520.455;0.44727
2020.01.02 08:00:00;1520.492;1521.055;1520.065;1520.335;0.37482
2020.01.02 08:30:00;1520.365;1521.205;1519.475;1521.205;0.80776
2020.01.02 09:00:00;1521.212;1521.612;1519.432;1519.855;0.95917
2020.01.02 09:30:00;1519.825;1520.602;1519.305;1519.395;0.74609
2020.01.02 10:00:00;1519.412;1520.705;1518.652;1519.702;1.84499
2020.01.02 10:30:00;1519.695;1521.205;1519.602;1521.025;1.02028
2020.01.02 11:00:00;1521.025;1521.195;1519.822;1520.625;0.86892
2020.01.02 11:30:00;1520.635;1521.572;1520.632;1520.872;0.73493
2020.01.02 12:00:00;1520.925;1521.132;1519.895;1520.665;0.76532
2020.01.02 12:30:00;1520.652;1521.605;1519.985;1521.445;0.55279
2020.01.02 13:00:00;1521.445;1522.125;1521.425;1521.765;0.44429
2020.01.02 13:30:00;1521.745;1522.625;1521.402;1522.222;0.66791
2020.01.02 14:00:00;1522.232;1522.932;1521.792;1522.685;0.78743
2020.01.02 14:30:00;1522.675;1523.885;1522.545;1523.325;0.7265
2020.01.02 15:00:00;1523.295;1525.495;1522.955;1524.505;1.70881
2020.01.02 15:30:00;1524.492;1529.0;1523.335;1528.245;2.15225
2020.01.02 16:00:00;1528.245;1528.822;1527.335;1527.695;2.01039
2020.01.02 16:30:00;1527.705;1530.812;1525.835;1526.522;2.90808
2020.01.02 17:00:00;1526.522;1530.835;1526.092;1530.025;2.31401
