Time (EET);Open;High;Low;Close;Volume
2020.01.02 01:00:00;1518.768;1520.685;1518.768;1520.505;0.04691
2020.01.02 01:05:00;1520.485;1521.068;1520.355;1520.838;0.02725
2020.01.02 01:10:00;1520.768;1520.768;1519.398;1519.758;0.09485
2020.01.02 01:15:00;1519.758;1520.288;1519.658;1519.868;0.04715
2020.01.02 01:20:00;1519.888;1519.888;1519.408;1519.458;0.05243
2020.01.02 01:25:00;1519.538;1519.828;1519.168;1519.598;0.05557
2020.01.02 01:30:00;1519.588;1519.778;1519.298;1519.298;0.02277
2020.01.02 01:35:00;1519.298;1519.518;1518.768;1519.278;0.03053
2020.01.02 01:40:00;1519.288;1519.608;1519.108;1519.328;0.04663
2020.01.02 01:45:00;1519.328;1519.328;1518.408;1518.588;0.05344
2020.01.02 01:50:00;1518.578;1518.795;1518.478;1518.628;0.04897
2020.01.02 01:55:00;1518.628;1518.698;1518.075;1518.285;0.05882
2020.01.02 02:00:00;1518.305;1518.758;1518.008;1518.708;0.09138
2020.01.02 02:05:00;1518.665;1518.885;1518.168;1518.765;0.0575
2020.01.02 02:10:00;1518.765;1519.075;1518.515;1519.055;0.05218
2020.01.02 02:15:00;1519.025;1519.195;1518.568;1519.125;0.07906
2020.01.02 02:20:00;1519.115;1519.305;1518.868;1519.175;0.07321
2020.01.02 02:25:00;1519.175;1519.285;1519.065;1519.205;0.03369
2020.01.02 02:30:00;1519.185;1519.285;1518.825;1519.115;0.0582
2020.01.02 02:35:00;1519.055;1519.125;1518.845;1519.008;0.02954
2020.01.02 02:40:00;1518.955;1518.955;1518.3;1518.385;0.0605
2020.01.02 02:45:00;1518.408;1518.755;1518.3;1518.485;0.07154
2020.01.02 02:50:00;1518.485;1518.505;1518.3;1518.345;0.01436
2020.01.02 02:55:00;1518.365;1518.755;1518.355;1518.625;0.05041
2020.01.02 03:00:00;1518.605;1519.655;1517.115;1518.075;0.34176
2020.01.02 03:05:00;1518.095;1519.155;1517.725;1519.065;0.18063
2020.01.02 03:10:00;1519.085;1519.465;1518.935;1519.135;0.07549
2020.01.02 03:15:00;1519.125;1520.765;1519.045;1520.745;0.136
2020.01.02 03:20:00;1520.808;1520.835;1520.055;1520.208;0.14575
2020.01.02 03:25:00;1520.208;1520.308;1519.855;1519.935;0.06046
2020.01.02 03:30:00;1519.935;1520.218;1519.725;1520.028;0.09015
2020.01.02 03:35:00;1520.038;1520.318;1519.508;1519.518;0.10749
2020.01.02 03:40:00;1519.518;1519.818;1519.308;1519.518;0.07112
2020.01.02 03:45:00;1519.608;1519.728;1519.3;1519.3;0.05356
2020.01.02 03:50:00;1519.3;1519.408;1518.875;1519.365;0.07147
2020.01.02 03:55:00;1519.345;1519.808;1519.255;1519.365;0.07489
2020.01.02 04:00:00;1519.345;1519.365;1518.335;1518.475;0.19103
2020.01.02 04:05:00;1518.455;1519.075;1518.455;1518.965;0.08203
2020.01.02 04:10:00;1518.945;1519.235;1518.875;1519.065;0.06519
2020.01.02 04:15:00;1519.108;1519.495;1518.985;1519.495;0.05662
2020.01.02 04:20:00;1519.485;1519.615;1519.395;1519.575;0.05119
2020.01.02 04:25:00;1519.565;1519.608;1519.455;1519.515;0.04463
2020.01.02 04:30:00;1519.535;1519.965;1519.408;1519.925;0.0882
2020.01.02 04:35:00;1519.915;1520.308;1519.835;1520.308;0.05485
2020.01.02 04:40:00;1520.305;1520.708;1520.275;1520.675;0.0949
2020.01.02 04:45:00;1520.685;1520.855;1520.518;1520.608;0.08861
2020.01.02 04:50:00;1520.605;1520.655;1520.155;1520.295;0.08311
2020.01.02 04:55:00;1520.315;1520.655;1520.295;1520.555;0.05518
2020.01.02 05:00:00;1520.555;1520.835;1520.495;1520.815;0.07362
2020.01.02 05:05:00;1520.845;1521.135;1520.845;1520.925;0.09341
2020.01.02 05:10:00;1520.955;1520.955;1520.485;1520.645;0.05735
2020.01.02 05:15:00;1520.635;1520.765;1520.125;1520.135;0.06734
2020.01.02 05:20:00;1520.155;1520.235;1519.955;1520.035;0.05906
2020.01.02 05:25:00;1520.035;1520.365;1520.005;1520.215;0.05846
2020.01.02 05:30:00;1520.295;1520.435;1520.185;1520.215;0.03478
2020.01.02 05:35:00;1520.225;1520.325;1520.135;1520.135;0.01318
2020.01.02 05:40:00;1520.125;1520.125;1519.785;1519.995;0.03605
2020.01.02 05:45:00;1520.008;1520.525;1520.008;1520.345;0.03782
2020.01.02 05:50:00;1520.355;1520.435;1520.165;1520.165;0.02775
2020.01.02 05:55:00;1520.208;1520.298;1520.115;1520.275;0.02471
2020.01.02 06:00:00;1520.275;1520.355;1520.208;1520.245;0.01696
2020.01.02 06:05:00;1520.245;1520.245;1520.008;1520.128;0.00867
2020.01.02 06:10:00;1520.085;1520.085;1519.908;1519.908;0.01474
2020.01.02 06:15:00;1519.885;1520.065;1519.845;1519.885;0.02007
2020.01.02 06:20:00;1519.885;1520.075;1519.885;1520.005;0.01792
2020.01.02 06:25:00;1519.985;1519.995;1519.765;1519.828;0.01427
2020.01.02 06:30:00;1519.795;1520.028;1519.715;1519.745;0.04366
2020.01.02 06:35:00;1519.745;1519.895;1519.715;1519.835;0.0241
2020.01.02 06:40:00;1519.845;1520.035;1519.805;1519.885;0.01497
2020.01.02 06:45:00;1519.885;1519.985;1519.605;1519.755;0.02825
2020.01.02 06:50:00;1519.775;1520.035;1519.775;1519.975;0.02926
2020.01.02 06:55:00;1520.038;1520.038;1519.485;1519.485;0.04218
2020.01.02 07:00:00;1519.425;1519.425;1518.938;1519.065;0.05805
2020.01.02 07:05:00;1519.085;1519.385;1519.085;1519.375;0.03377
2020.01.02 07:10:00;1519.365;1519.365;1519.135;1519.295;0.03377
