Time (EET);Ask;Bid;AskVolume;BidVolume
2020.01.02 01:00:04.735000;1519.592;1518.768;0.00037;0.00037
2020.01.02 01:00:04.836000;1519.742;1518.858;0.00037;0.00037
2020.01.02 01:00:04.938000;1519.792;1518.908;0.00037;0.00037
2020.01.02 01:00:05.238000;1519.912;1518.968;0.00037;0.00037
2020.01.02 01:00:05.559000;1519.892;1519.038;0.00037;0.00037
2020.01.02 01:00:05.924000;1519.872;1519.088;0.00037;0.00037
2020.01.02 01:00:06.414000;1520.232;1519.278;0.00037;0.00037
2020.01.02 01:00:06.744000;1520.282;1519.398;0.00037;0.00037
2020.01.02 01:00:07.065000;1520.482;1519.528;0.00037;0.00037
2020.01.02 01:00:07.217000;1520.882;1519.938;0.00037;0.00037
2020.01.02 01:00:08.183000;1521.245;1520.675;0.0001;0.0001
2020.01.02 01:00:08.519000;1521.205;1520.675;0.0001;0.0001
2020.01.02 01:00:08.687000;1521.005;1520.275;0.0001;0.0001
2020.01.02 01:00:08.938000;1520.525;1520.025;0.0001;0.0001
2020.01.02 01:00:08.989000;1520.255;1519.745;0.0001;0.0001
2020.01.02 01:00:09.220000;1520.245;1519.745;0.0001;0.0001
2020.01.02 01:00:09.363000;1520.145;1519.655;0.0001;0.0001
2020.01.02 01:00:09.503000;1520.105;1519.575;0.0001;0.0001
2020.01.02 01:00:09.587000;1520.105;1519.375;0.0001;0.0001
2020.01.02 01:00:09.690000;1520.105;1519.275;0.0001;0.0001
2020.01.02 01:00:09.741000;1519.905;1519.175;0.0001;0.0001
2020.01.02 01:00:10.153000;1520.015;1519.495;0.0001;0.0001
2020.01.02 01:00:10.204000;1519.905;1519.175;0.0001;0.0001
2020.01.02 01:00:10.254000;1519.675;1519.175;0.0001;0.0001
2020.01.02 01:00:10.507000;1519.605;1519.115;0.0001;0.0001
2020.01.02 01:00:10.557000;1519.575;1519.075;0.0001;0.0001
2020.01.02 01:00:10.615000;1519.475;1518.975;0.0001;0.0001
2020.01.02 01:00:10.845000;1519.435;1518.935;0.0001;0.0001
2020.01.02 01:00:11.355000;1519.885;1519.375;0.0001;0.0001
2020.01.02 01:00:12.525000;1520.055;1519.545;0.0001;0.0001
2020.01.02 01:00:12.652000;1520.065;1519.575;0.0001;0.0001
2020.01.02 01:00:13.385000;1520.065;1519.585;0.0001;0.0001
2020.01.02 01:00:13.435000;1520.285;1519.785;0.0001;0.0001
2020.01.02 01:00:13.632000;1520.315;1519.815;0.0001;0.0001
2020.01.02 01:00:14.070000;1520.205;1519.705;0.0001;0.0001
2020.01.02 01:00:14.304000;1520.205;1519.715;0.0001;0.0001
2020.01.02 01:00:14.354000;1520.285;1519.775;0.0001;0.0001
2020.01.02 01:00:15.072000;1520.245;1519.755;0.0001;0.0001
2020.01.02 01:00:15.173000;1520.255;1519.755;0.0001;0.0001
2020.01.02 01:00:15.273000;1520.295;1519.785;0.0001;0.0001
2020.01.02 01:00:15.324000;1520.285;1519.785;0.0001;0.0001
2020.01.02 01:00:15.455000;1520.165;1519.655;0.0001;0.0001
2020.01.02 01:00:15.555000;1520.085;1519.585;0.0001;0.0001
2020.01.02 01:00:15.656000;1520.075;1519.585;0.0001;0.0001
2020.01.02 01:00:15.822000;1520.085;1519.595;0.0001;0.0001
2020.01.02 01:00:15.872000;1520.045;1519.545;0.0001;0.0001
2020.01.02 01:00:15.986000;1520.105;1519.605;0.0001;0.0001
2020.01.02 01:00:16.390000;1520.075;1519.575;0.0001;0.0001
2020.01.02 01:00:16.568000;1520.045;1519.545;0.0001;0.0001
2020.01.02 01:00:16.618000;1520.055;1519.545;0.0001;0.0001
2020.01.02 01:00:16.668000;1520.045;1519.535;0.0001;0.0001
2020.01.02 01:00:16.854000;1519.865;1519.385;0.0001;0.0001
2020.01.02 01:00:17.283000;1519.885;1519.385;0.0001;0.0001
2020.01.02 01:00:17.340000;1519.885;1519.355;0.0001;0.0001
2020.01.02 01:00:17.390000;1519.825;1519.335;0.0001;0.0001
2020.01.02 01:00:17.686000;1519.825;1519.345;0.0001;0.0001
2020.01.02 01:00:17.786000;1519.825;1519.335;0.0001;0.0001
2020.01.02 01:00:17.973000;1519.825;1519.375;0.0001;0.0001
2020.01.02 01:00:18.023000;1519.915;1519.425;0.0001;0.0001
2020.01.02 01:00:18.124000;1519.915;1519.455;0.0001;0.0001
2020.01.02 01:00:18.175000;1519.945;1519.455;0.0001;0.0001
2020.01.02 01:00:18.356000;1520.005;1519.505;0.0001;0.0001
2020.01.02 01:00:19.116000;1520.025;1519.535;0.0001;0.0001
2020.01.02 01:00:20.075000;1520.095;1519.595;0.0001;0.0001
2020.01.02 01:00:20.125000;1519.975;1519.475;0.0001;0.0001
2020.01.02 01:00:20.226000;1520.045;1519.555;0.0001;0.0001
2020.01.02 01:00:21.084000;1520.045;1519.415;0.0001;0.0001
2020.01.02 01:00:21.134000;1519.915;1519.415;0.0001;0.0001
2020.01.02 01:00:21.235000;1520.125;1519.625;0.0001;0.0001
2020.01.02 01:00:21.345000;1520.155;1519.655;0.0001;0.0001
2020.01.02 01:00:22.955000;1520.165;1519.675;0.0001;0.0001
2020.01.02 01:00:23.365000;1520.125;1519.625;0.0001;0.0001
2020.01.02 01:00:23.728000;1520.125;1519.655;0.0001;0.0001
2020.01.02 01:00:23.779000;1520.205;1519.725;0.0001;0.0001
2020.01.02 01:00:23.844000;1520.225;1519.725;0.0001;0.0001
2020.01.02 01:00:23.894000;1520.255;1519.765;0.0001;0.0001
2020.01.02 01:00:25.024000;1520.215;1519.705;0.0001;0.0001
2020.01.02 01:00:25.139000;1520.195;1519.705;0.0001;0.0001
2020.01.02 01:00:25.189000;1520.195;1519.595;0.0001;0.0001
2020.01.02 01:00:25.240000;1519.975;1519.475;0.0001;0.0001
2020.01.02 01:00:25.391000;1520.035;1519.535;0.0001;0.0001
2020.01.02 01:00:25.541000;1520.065;1519.575;0.0001;0.0001
2020.01.02 01:00:25.685000;1520.085;1519.575;0.0001;0.0001
2020.01.02 01:00:25.786000;1520.085;1519.595;0.0001;0.0001
2020.01.02 01:00:26.019000;1520.015;1519.515;0.0001;0.0001
2020.01.02 01:00:26.070000;1520.045;1519.535;0.0001;0.0001
2020.01.02 01:00:26.120000;1520.045;1519.555;0.0001;0.0001
2020.01.02 01:00:26.220000;1520.045;1519.535;0.0001;0.0001
2020.01.02 01:00:26.271000;1519.955;1519.435;0.0001;0.0001
2020.01.02 01:00:26.321000;1519.955;1519.455;0.0001;0.0001
2020.01.02 01:00:27.006000;1520.085;1519.595;0.0001;0.0001
2020.01.02 01:00:27.157000;1520.145;1519.645;0.0001;0.0001
2020.01.02 01:00:27.258000;1520.155;1519.665;0.0001;0.0001
2020.01.02 01:00:27.534000;1520.115;1519.635;0.0001;0.0001
2020.01.02 01:00:27.584000;1520.135;1519.635;0.0001;0.0001
2020.01.02 01:00:27.701000;1520.135;1519.605;0.0001;0.0001
2020.01.02 01:00:27.751000;1520.105;1519.605;0.0001;0.0001
2020.01.02 01:00:28.215000;1520.115;1519.625;0.0001;0.0001
2020.01.02 01:00:28.497000;1520.225;1519.725;0.0001;0.0001
2020.01.02 01:00:29.104000;1520.295;1519.795;0.0001;0.0001
