Time (EET);Open;High;Low;Close;Volume 
2020.01.02 01:00:00;1519,592;1522,125;1519,435;1520,035;0,27121
2020.01.02 01:15:00;1520,005;1520,535;1519,435;1519,875;0,2354
2020.01.02 01:30:00;1519,875;1520,045;1519,035;1519,625;0,1529
2020.01.02 01:45:00;1519,675;1519,675;1518,332;1518,595;0,23903
2020.01.02 02:00:00;1518,605;1519,345;1518,305;1519,335;0,18843
2020.01.02 02:15:00;1519,305;1519,562;1518,845;1519,452;0,17308
2020.01.02 02:30:00;1519,452;1519,555;1518,515;1518,632;0,18164
2020.01.02 02:45:00;1518,685;1519,005;1518,392;1518,845;0,1057
2020.01.02 03:00:00;1518,845;1519,965;1517,392;1519,415;0,55482
2020.01.02 03:15:00;1519,385;1521,125;1519,355;1520,215;0,38051
2020.01.02 03:30:00;1520,205;1520,555;1519,525;1519,795;0,31814
2020.01.02 03:45:00;1519,795;1520,065;1519,112;1519,612;0,22343
2020.01.02 04:00:00;1519,612;1519,635;1518,612;1519,345;0,34236
2020.01.02 04:15:00;1519,355;1519,892;1519,255;1519,792;0,14828
2020.01.02 04:30:00;1519,825;1520,985;1519,692;1520,932;0,24033
2020.01.02 04:45:00;1520,932;1521,125;1520,412;1520,812;0,22012
2020.01.02 05:00:00;1520,835;1521,402;1520,692;1520,892;0,21421
2020.01.02 05:15:00;1520,892;1521,002;1520,232;1520,492;0,1718
2020.01.02 05:30:00;1520,512;1520,692;1520,012;1520,292;0,08238
2020.01.02 05:45:00;1520,292;1520,802;1520,292;1520,545;0,11159
2020.01.02 06:00:00;1520,532;1520,635;1520,185;1520,185;0,04733
2020.01.02 06:15:00;1520,165;1520,355;1520,032;1520,075;0,05766
2020.01.02 06:30:00;1520,075;1520,305;1519,975;1520,112;0,08136
2020.01.02 06:45:00;1520,155;1520,332;1519,755;1519,755;0,0954
2020.01.02 07:00:00;1519,695;1519,695;1519,165;1519,565;0,12022
2020.01.02 07:15:00;1519,565;1520,002;1519,365;1519,695;0,11484
2020.01.02 07:30:00;1519,695;1520,305;1519,245;1519,852;0,2376
2020.01.02 07:45:00;1519,802;1520,615;1519,552;1520,455;0,20967
2020.01.02 08:00:00;1520,492;1521,055;1520,452;1520,525;0,23422
2020.01.02 08:15:00;1520,475;1520,645;1520,065;1520,335;0,1406
2020.01.02 08:30:00;1520,365;1520,655;1519,475;1520,645;0,49945
2020.01.02 08:45:00;1520,635;1521,205;1520,355;1521,205;0,30831
2020.01.02 09:00:00;1521,212;1521,612;1520,212;1520,685;0,61751
2020.01.02 09:15:00;1520,692;1520,805;1519,432;1519,855;0,34166
2020.01.02 09:30:00;1519,825;1520,602;1519,402;1520,065;0,45678
2020.01.02 09:45:00;1520,032;1520,375;1519,305;1519,395;0,28931
2020.01.02 10:00:00;1519,412;1520,452;1518,652;1520,345;1,18742
2020.01.02 10:15:00;1520,332;1520,705;1519,385;1519,702;0,65757
2020.01.02 10:30:00;1519,695;1520,785;1519,602;1520,695;0,36014
2020.01.02 10:45:00;1520,692;1521,205;1520,072;1521,025;0,66014
2020.01.02 11:00:00;1521,025;1521,195;1520,075;1520,215;0,57003
2020.01.02 11:15:00;1520,255;1520,772;1519,822;1520,625;0,29889
2020.01.02 11:30:00;1520,635;1521,472;1520,632;1521,435;0,47302
2020.01.02 11:45:00;1521,425;1521,572;1520,815;1520,872;0,26191
2020.01.02 12:00:00;1520,925;1521,132;1519,895;1520,245;0,44187
2020.01.02 12:15:00;1520,245;1520,782;1520,075;1520,665;0,32345
2020.01.02 12:30:00;1520,652;1520,785;1519,985;1520,115;0,19586
2020.01.02 12:45:00;1520,152;1521,605;1520,105;1521,445;0,35693
