Time (EET);Open;High;Low;Close;Volume 
2020.01.02 00:00:00;1519,592;1522,125;1517,392;1519,612;3,02429
2020.01.02 04:00:00;1519,612;1521,402;1518,612;1520,455;2,49515
2020.01.02 08:00:00;1520,492;1521,612;1518,652;1520,872;7,35696
2020.01.02 12:00:00;1520,925;1529;1519,895;1528,245;7,8053
2020.01.02 16:00:00;1528,245;1531,585;1522,992;1525,475;15,90298
2020.01.02 20:00:00;1525,475;1529,785;1525,112;1529,785;4,35109
2020.01.03 00:00:00;1529,302;1536,015;1528,205;1535,155;2,92871
2020.01.03 04:00:00;1535,155;1544,085;1532,842;1541,625;11,69084
2020.01.03 08:00:00;1541,625;1550,605;1540,375;1547,032;13,94133
2020.01.03 12:00:00;1547,122;1551,752;1541,135;1546,485;14,99802
2020.01.03 16:00:00;1546,525;1551,245;1544,302;1548,945;16,64005
2020.01.03 20:00:00;1548,945;1553,762;1546,445;1552,805;10,00662
2020.01.06 00:00:00;1560;1587,915;1560;1578,005;13,11873
2020.01.06 04:00:00;1578,005;1579,712;1573,725;1575,162;8,46641
2020.01.06 08:00:00;1575,162;1578,225;1570,382;1577,462;13,2846
2020.01.06 12:00:00;1577,452;1579,515;1571,632;1574,455;10,25016
2020.01.06 16:00:00;1574,475;1576,875;1560,982;1564,712;24,08259
2020.01.06 20:00:00;1564,722;1568,705;1563,192;1566,195;10,51793
2020.01.07 00:00:00;1566,022;1566,135;1556,735;1558,095;3,62949
2020.01.07 04:00:00;1558,105;1563,205;1555,515;1562,705;7,33886
2020.01.07 08:00:00;1562,725;1571,075;1562,585;1566,405;12,90888
2020.01.07 12:00:00;1566,355;1569,742;1564,015;1568,365;9,89359
2020.01.07 16:00:00;1568,362;1573,355;1565,852;1572,105;21,34145
2020.01.07 20:00:00;1572,072;1577,602;1569,792;1574,945;7,83897
2020.01.08 00:00:00;1576,122;1611,732;1574,102;1593,735;15,87314
2020.01.08 04:00:00;1593,645;1595,575;1583,922;1594,692;17,78978
2020.01.08 08:00:00;1594,622;1595,372;1579,472;1583,935;17,20658
2020.01.08 12:00:00;1583,935;1585,035;1568,322;1576,955;16,80838
2020.01.08 16:00:00;1576,915;1578,535;1552,912;1562,125;32,59773
2020.01.08 20:00:00;1562,125;1562,505;1552,485;1557,365;13,88778
2020.01.09 00:00:00;1557,152;1561,545;1554,052;1559,885;4,1382
2020.01.09 04:00:00;1559,885;1561,032;1555,295;1555,545;4,43748
2020.01.09 08:00:00;1555,515;1556,145;1540,422;1546,565;16,81
2020.01.09 12:00:00;1546,575;1556,6;1545,805;1550,045;11,21325
2020.01.09 16:00:00;1549,992;1552,855;1544,982;1549,445;11,36475
2020.01.09 20:00:00;1549,435;1555,285;1549,435;1552,675;6,60343
2020.01.10 00:00:00;1552,902;1554,152;1547,675;1548,195;3,46599
2020.01.10 04:00:00;1548,185;1549,515;1545,935;1548,602;3,45472
2020.01.10 08:00:00;1548,592;1552,625;1546,412;1548,525;7,18189
2020.01.10 12:00:00;1548,495;1556,73;1547,042;1548,942;9,90342
2020.01.10 16:00:00;1548,942;1561,272;1547,972;1559,605;17,51296
