Time (EET);Open;High;Low;Close;Volume 
2020.01.02 00:00:00;1518,768;1521,068;1517,115;1519,365;2,66566
2020.01.02 04:00:00;1519,345;1521,135;1518,335;1520,185;2,44931
2020.01.02 08:00:00;1520,185;1521,375;1518,395;1520,625;7,70202
2020.01.02 12:00:00;1520,655;1528,978;1519,588;1527,998;8,09072
2020.01.02 16:00:00;1528,008;1531,328;1522,715;1525,208;16,93503
2020.01.02 20:00:00;1525,205;1528,948;1524,848;1528,825;6,67124
2020.01.03 00:00:00;1528,568;1535,748;1527,848;1534,848;2,7113
2020.01.03 04:00:00;1534,928;1543,768;1532,535;1541,378;10,96201
2020.01.03 08:00:00;1541,398;1550,345;1540,108;1546,765;14,28565
2020.01.03 12:00:00;1546,835;1551,445;1540,848;1546,228;14,03182
2020.01.03 16:00:00;1546,288;1550,988;1544,048;1548,808;19,9454
2020.01.03 20:00:00;1548,738;1553,515;1546,158;1551,515;11,24947
2020.01.06 00:00:00;1559,735;1585,625;1559,735;1577,698;11,45552
2020.01.06 04:00:00;1577,678;1579,455;1573,445;1574,915;8,66212
2020.01.06 08:00:00;1574,905;1577,975;1570,145;1577,215;14,61312
2020.01.06 12:00:00;1577,215;1579,278;1571,388;1574,185;10,03615
2020.01.06 16:00:00;1574,195;1576,608;1560,755;1564,465;19,49992
2020.01.06 20:00:00;1564,475;1568,468;1562,935;1565,445;9,41321
2020.01.07 00:00:00;1565,108;1565,625;1556,445;1557,805;3,53342
2020.01.07 04:00:00;1557,825;1562,925;1555,248;1562,425;7,93297
2020.01.07 08:00:00;1562,445;1570,845;1562,295;1566,135;14,70686
2020.01.07 12:00:00;1566,095;1569,525;1563,805;1568,085;11,10135
2020.01.07 16:00:00;1568,085;1573,085;1565,448;1571,835;23,38342
2020.01.07 20:00:00;1571,835;1577,248;1569,498;1573,945;9,6441
2020.01.08 00:00:00;1575,238;1611,325;1573,488;1593,365;17,02369
2020.01.08 04:00:00;1593,288;1595,338;1583,538;1594,428;18,98437
2020.01.08 08:00:00;1594,335;1595,105;1579,185;1583,645;17,68399
2020.01.08 12:00:00;1583,665;1584,765;1568,038;1576,678;18,47422
2020.01.08 16:00:00;1576,668;1578,258;1552,568;1561,878;26,38631
2020.01.08 20:00:00;1561,828;1562,208;1552,178;1556,095;11,69512
2020.01.09 00:00:00;1556,528;1561,285;1553,735;1559,675;5,02254
2020.01.09 04:00:00;1559,685;1560,795;1554,985;1555,265;4,8673
2020.01.09 08:00:00;1555,258;1555,805;1540,105;1546,285;16,52175
2020.01.09 12:00:00;1546,285;1556,488;1545,515;1549,785;11,81221
2020.01.09 16:00:00;1549,765;1552,558;1544,745;1549,188;12,73317
2020.01.09 20:00:00;1549,188;1555,028;1549,188;1551,685;5,37542
2020.01.10 00:00:00;1552,198;1553,648;1547,418;1547,918;2,76856
2020.01.10 04:00:00;1547,915;1549,238;1545,665;1548,335;3,48034
2020.01.10 08:00:00;1548,325;1552,368;1546,185;1548,245;7,55155
2020.01.10 12:00:00;1548,235;1556,528;1546,768;1548,625;10,24923
2020.01.10 16:00:00;1548,635;1560,995;1547,665;1559,348;19,20388
2020.01.10 20:00:00;1559,368;1563,008;1557,785;1561,785;7,46458
2020.01.13 00:00:00;1561,318;1561,318;1554,235;1556,675;2,57177
2020.01.13 04:00:00;1556,695;1557,565;1554,905;1555,095;3,58099
2020.01.13 08:00:00;1555,095;1555,445;1546,408;1547,905;10,06797
2020.01.13 12:00:00;1547,875;1556,048;1547,845;1554,638;8,22545
2020.01.13 16:00:00;1554,628;1555,205;1548,578;1549,628;15,6854
2020.01.13 20:00:00;1549,645;1550,408;1547,455;1547,475;4,87709
2020.01.14 00:00:00;1547,848;1548,728;1535,828;1537,555;6,37133
2020.01.14 04:00:00;1537,555;1540,505;1536,058;1537,875;6,51304
2020.01.14 08:00:00;1537,875;1545,868;1536,268;1543,995;9,99916
2020.01.14 12:00:00;1543,998;1546,638;1541,968;1544,065;12,10037
2020.01.14 16:00:00;1544,085;1546,965;1540,868;1543,475;16,84588
2020.01.14 20:00:00;1543,465;1548,745;1542,848;1545,665;13,32514
2020.01.15 00:00:00;1546,258;1549,995;1545,818;1547,248;3,8607
2020.01.15 04:00:00;1547,158;1553,305;1547,118;1553,165;5,28518
2020.01.15 08:00:00;1553,165;1554,205;1550,228;1553,165;7,78858
2020.01.15 12:00:00;1553,185;1554,768;1546,888;1554,698;14,55179
2020.01.15 16:00:00;1554,598;1556,958;1548,655;1553,938;20,67864
2020.01.15 20:00:00;1553,848;1558,148;1552,988;1555,775;14,63703
2020.01.16 00:00:00;1556,298;1558,035;1554,838;1556,358;2,84663
2020.01.16 04:00:00;1556,288;1557,065;1551,445;1551,665;4,2355
2020.01.16 08:00:00;1551,645;1555,608;1551,555;1554,805;6,90179
2020.01.16 12:00:00;1554,805;1557,415;1552,425;1554,245;8,63118
2020.01.16 16:00:00;1554,235;1555,468;1547,975;1551,468;16,2945
2020.01.16 20:00:00;1551,468;1554,115;1549,355;1551,965;7,09147
2020.01.17 00:00:00;1552,398;1553,495;1549,295;1553,115;2,77569
2020.01.17 04:00:00;1553,115;1556,855;1551,948;1555,565;4,05908
2020.01.17 08:00:00;1555,595;1556,968;1554,045;1555,415;5,50565
2020.01.17 12:00:00;1555,438;1560,688;1554,245;1555,365;9,11275
2020.01.17 16:00:00;1555,355;1560,128;1554,005;1559,728;13,98768
2020.01.17 20:00:00;1559,728;1561,155;1556,205;1556,945;4,71748
2020.01.20 00:00:00;1557,128;1559,015;1556,268;1557,565;2,20772
2020.01.20 04:00:00;1557,565;1562,188;1556,865;1561,835;2,19725
2020.01.20 08:00:00;1561,755;1562,705;1559,205;1560,338;4,86033
2020.01.20 12:00:00;1560,348;1560,888;1558,198;1560,308;4,00903
2020.01.20 16:00:00;1560,285;1561,155;1559,265;1560,478;4,20893
2020.01.21 00:00:00;1560,708;1567,855;1559,755;1566,505;3,73289
2020.01.21 04:00:00;1566,435;1568,508;1564,498;1565,615;6,2112
2020.01.21 08:00:00;1565,615;1567,148;1552,545;1555,785;12,24148
2020.01.21 12:00:00;1555,775;1557,798;1550,688;1553,238;15,4829
2020.01.21 16:00:00;1553,235;1558,685;1546,238;1557,008;17,14685
2020.01.21 20:00:00;1557,018;1559,945;1554,348;1557,855;9,81
2020.01.22 00:00:00;1558,638;1559,008;1552,968;1554,625;4,99046
2020.01.22 04:00:00;1554,655;1554,665;1550,3;1550,885;5,3447
2020.01.22 08:00:00;1550,855;1557,935;1550,515;1557,025;7,08417
2020.01.22 12:00:00;1557,025;1559,168;1554,525;1556,065;8,63679
2020.01.22 16:00:00;1556,088;1558,955;1554,825;1557,715;14,75017
2020.01.22 20:00:00;1557,715;1559,038;1556,275;1558,475;6,86196
2020.01.23 00:00:00;1558,498;1563,675;1558,378;1559,908;7,268
2020.01.23 04:00:00;1559,885;1560,805;1555,758;1557,828;4,59414
2020.01.23 08:00:00;1557,828;1558,065;1552,908;1554,275;7,89155
2020.01.23 12:00:00;1554,275;1557,508;1551,798;1556,788;7,39434
2020.01.23 16:00:00;1556,788;1567,808;1554,505;1567,218;20,63712
2020.01.23 20:00:00;1567,208;1567,848;1560,228;1562,455;10,45978
2020.01.24 00:00:00;1562,328;1563,098;1559,508;1561,798;2,71314
2020.01.24 04:00:00;1561,918;1562,225;1559,325;1560,468;1,99995
2020.01.24 08:00:00;1560,468;1561,388;1557,545;1561,185;7,22516
2020.01.24 12:00:00;1561,185;1562,888;1556,455;1561,305;8,14319
2020.01.24 16:00:00;1561,318;1575,785;1559,655;1571,615;25,24217
2020.01.24 20:00:00;1571,605;1575,728;1569,468;1571,455;20,45356
2020.01.27 00:00:00;1579,248;1588,345;1577,235;1581,045;5,39679
2020.01.27 04:00:00;1580,975;1583,035;1577,898;1580,488;5,69173
2020.01.27 08:00:00;1580,495;1583,528;1575,798;1582,578;13,65606
2020.01.27 12:00:00;1582,638;1586,198;1580,208;1581,365;16,80738
2020.01.27 16:00:00;1581,355;1585,908;1578,035;1580,145;23,4887
2020.01.27 20:00:00;1580,095;1583,266;1577,025;1581,705;10,91746
2020.01.28 00:00:00;1581,348;1582,965;1579,968;1580,825;2,67028
2020.01.28 04:00:00;1580,825;1582,155;1578,238;1579,115;4,85237
2020.01.28 08:00:00;1579,125;1582,218;1576,795;1579,065;11,13195
2020.01.28 12:00:00;1579,085;1580,665;1571,588;1574,885;12,29756
2020.01.28 16:00:00;1574,885;1577,928;1567,028;1569,785;19,20841
2020.01.28 20:00:00;1569,805;1571,735;1565,388;1566,835;7,73313
2020.01.29 00:00:00;1566,758;1569,898;1563,368;1565,755;3,21386
2020.01.29 04:00:00;1565,715;1567,095;1563,335;1566,985;5,34762
2020.01.29 08:00:00;1566,985;1571,615;1566,015;1570,698;9,2912
2020.01.29 12:00:00;1570,698;1572,358;1569,085;1569,735;10,99343
2020.01.29 16:00:00;1569,735;1574,408;1567,775;1570,885;18,06422
2020.01.29 20:00:00;1570,885;1577,948;1568,708;1576,295;15,21537
2020.01.30 00:00:00;1576,598;1580,118;1574,948;1577,955;3,50211
2020.01.30 04:00:00;1577,965;1580,765;1577,948;1578,105;6,55777
2020.01.30 08:00:00;1578,075;1582,985;1576,895;1579,965;13,65695
