Time (EET);Open;High;Low;Close;Volume 
2020.01.02 00:00:00;1518,768;1531,328;1517,115;1528,825;44,51398
2020.01.03 00:00:00;1528,568;1553,515;1527,848;1551,515;73,18564
2020.01.06 00:00:00;1559,735;1585,625;1559,735;1565,445;73,68005
2020.01.07 00:00:00;1565,108;1577,248;1555,248;1573,945;70,30211
2020.01.08 00:00:00;1575,238;1611,325;1552,178;1556,095;110,24769
2020.01.09 00:00:00;1556,528;1561,285;1540,105;1551,685;56,33239
2020.01.10 00:00:00;1552,198;1563,008;1545,665;1561,785;50,71815
2020.01.13 00:00:00;1561,318;1561,318;1546,408;1547,475;45,00866
2020.01.14 00:00:00;1547,848;1548,745;1535,828;1545,665;65,15492
2020.01.15 00:00:00;1546,258;1558,148;1545,818;1555,775;66,80191
2020.01.16 00:00:00;1556,298;1558,035;1547,975;1551,965;46,00106
2020.01.17 00:00:00;1552,398;1561,155;1549,295;1556,945;40,15834
2020.01.20 00:00:00;1557,128;1562,705;1556,268;1560,478;17,48326
2020.01.21 00:00:00;1560,708;1568,508;1546,238;1557,855;64,62532
2020.01.22 00:00:00;1558,638;1559,168;1550,3;1558,475;47,66825
2020.01.23 00:00:00;1558,498;1567,848;1551,798;1562,455;58,24493
2020.01.24 00:00:00;1562,328;1575,785;1556,455;1571,455;65,77716
2020.01.27 00:00:00;1579,248;1588,345;1575,798;1581,705;75,95812
2020.01.28 00:00:00;1581,348;1582,965;1565,388;1566,835;57,89369
2020.01.29 00:00:00;1566,758;1577,948;1563,335;1576,295;62,1257
2020.01.30 00:00:00;1576,598;1585,888;1572,155;1573,945;75,79937
2020.01.31 00:00:00;1573,778;1590,528;1570,905;1589,325;85,87936
2020.02.03 00:00:00;1593,388;1593,488;1569,188;1576,365;52,73923
2020.02.04 00:00:00;1577,098;1579,545;1548,965;1552,505;50,91658
2020.02.05 00:00:00;1552,508;1562,368;1547,425;1555,685;48,47187
2020.02.06 00:00:00;1555,688;1568,178;1552,385;1566,335;44,0793
2020.02.07 00:00:00;1566,618;1574,008;1559,875;1570,198;86,67534
2020.02.10 00:00:00;1571,248;1576,928;1567,905;1571,755;49,906
2020.02.11 00:00:00;1571,688;1573,978;1561,925;1567,565;54,82625
2020.02.12 00:00:00;1567,578;1570,398;1561,728;1565,715;47,66613
2020.02.13 00:00:00;1565,965;1578,248;1565,495;1575,625;62,63233
2020.02.14 00:00:00;1575,838;1584,948;1572,975;1583,648;44,72505
2020.02.17 00:00:00;1581,858;1583,698;1578,798;1581,008;18,29448
2020.02.18 00:00:00;1584,018;1605,018;1582,298;1601,215;59,92944
2020.02.19 00:00:00;1601,378;1612,888;1599,455;1611,315;57,49626
2020.02.20 00:00:00;1612,118;1623,658;1603,785;1618,955;59,95086
2020.02.21 00:00:00;1619,638;1649,165;1618,895;1643,148;84,29838
2020.02.24 00:00:00;1654,598;1689,255;1650,838;1659,095;116,15978
2020.02.25 00:00:00;1658,828;1663,805;1624,898;1634,385;141,51633
2020.02.26 00:00:00;1635,188;1654,895;1624,785;1640,608;112,68583
2020.02.27 00:00:00;1640,838;1660,368;1635,145;1644,708;191,64726
2020.02.28 00:00:00;1644,108;1649,388;1562,848;1585,435;161,6853
2020.03.02 00:00:00;1591,378;1610,958;1575,315;1589,108;215,10772
2020.03.03 00:00:00;1585,198;1649,208;1584,768;1640,528;190,51577
2020.03.04 00:00:00;1640,258;1652,548;1631,798;1636,578;185,89787
2020.03.05 00:00:00;1637,288;1674,498;1634,888;1671,928;148,07638
2020.03.06 00:00:00;1672,348;1692,088;1642,128;1673,548;178,7032
2020.03.08 23:00:00;1694,895;1703,318;1657,308;1680,118;137,94032
2020.03.09 23:00:00;1679,668;1680,398;1641,495;1648,948;130,60713
2020.03.10 23:00:00;1649,448;1671,158;1632,935;1634,498;107,33341
2020.03.11 23:00:00;1633,778;1649,965;1560,508;1576,748;121,89336
2020.03.12 23:00:00;1579,228;1597,825;1504,398;1529,348;137,51749
2020.03.15 23:00:00;1567,348;1575,305;1451,148;1513,768;118,54728
2020.03.16 23:00:00;1512,078;1553,808;1465,468;1527,838;118,84533
2020.03.17 23:00:00;1527,168;1546,248;1472,625;1485,478;119,93665
2020.03.18 23:00:00;1485,868;1500,828;1463,975;1470,528;87,70838
2020.03.19 23:00:00;1470,308;1516,045;1454,898;1498,698;76,97595
2020.03.22 23:00:00;1503,768;1561,198;1482,258;1552,638;84,48503
2020.03.23 23:00:00;1554,928;1632,918;1552,788;1629,638;47,64439
2020.03.24 23:00:00;1628,728;1639,18;1594,682;1615,258;47,56148
2020.03.25 23:00:00;1615,948;1645,052;1595,301;1627,325;34,2562
2020.03.26 23:00:00;1626,658;1635,238;1612,838;1626,148;38,07059
2020.03.30 00:00:00;1639,458;1639,458;1610,098;1621,905;45,82655
2020.03.31 00:00:00;1619,298;1623,408;1574,188;1575,948;44,28044
2020.04.01 00:00:00;1573,038;1599,988;1567,468;1589,595;49,79344
2020.04.02 00:00:00;1588,468;1619,94;1582,818;1611,118;51,88723
2020.04.03 00:00:00;1611,388;1625,498;1605,625;1617,048;43,64514
2020.04.06 00:00:00;1615,578;1668,648;1609;1660,905;47,53466
2020.04.07 00:00:00;1658,738;1674,828;1642,128;1646,08;63,78568
2020.04.08 00:00:00;1646,08;1656,288;1640,398;1644,258;39,96902
2020.04.09 00:00:00;1644;1689,948;1644;1682,148;46,25532
2020.04.13 00:00:00;1686,218;1722,548;1675;1713,868;47,00403
2020.04.14 00:00:00;1709,478;1747,625;1708,735;1725,875;67,45322
2020.04.15 00:00:00;1727,188;1730,998;1707,518;1716,288;51,95619
2020.04.16 00:00:00;1716,578;1738,648;1707,498;1716,428;62,85084
2020.04.17 00:00:00;1713,928;1719,388;1679,125;1681,998;64,45993
2020.04.20 00:00:00;1679,878;1702,138;1671,598;1694,798;55,31347
2020.04.21 00:00:00;1692,618;1697,796;1659,298;1685,008;61,20525
2020.04.22 00:00:00;1683,238;1718,555;1679,908;1713,058;64,56757
2020.04.23 00:00:00;1713,038;1738,558;1707,328;1729,228;65,94935
2020.04.24 00:00:00;1729,398;1736,208;1710,508;1727,698;62,21054
2020.04.27 00:00:00;1726,388;1727,248;1705,995;1713,358;74,22074
2020.04.28 00:00:00;1713,408;1715,945;1691,678;1707,465;80,41443
2020.04.29 00:00:00;1706,758;1717,398;1697,805;1712,378;64,48004
2020.04.30 00:00:00;1711,598;1721,598;1681,068;1685,998;68,51251
2020.05.01 00:00:00;1684,838;1705,068;1670,418;1698,818;82,95056
2020.05.04 00:00:00;1697,878;1713,228;1691,328;1701,758;51,274
2020.05.05 00:00:00;1700,968;1711,568;1689,788;1704,988;49,3875
2020.05.06 00:00:00;1705,328;1708,071;1682,008;1685,068;50,55536
2020.05.07 00:00:00;1681,518;1721,888;1681,308;1715,248;57,48793
2020.05.08 00:00:00;1715,218;1723,148;1700,545;1701,408;64,90224
2020.05.11 00:00:00;1701,558;1712,058;1691,825;1697,408;66,25676
2020.05.12 00:00:00;1696,038;1710,698;1693,605;1702,068;57,58346
2020.05.13 00:00:00;1700,368;1718,018;1699,348;1715,568;76,03857
2020.05.14 00:00:00;1715,568;1736,348;1710,828;1730,315;63,77758
2020.05.15 00:00:00;1729,248;1751,398;1728,428;1741,628;77,51982
2020.05.18 00:00:00;1734,868;1765,018;1727,458;1732,305;85,08438
2020.05.19 00:00:00;1730,418;1747,818;1726,205;1744,408;85,64683
2020.05.20 00:00:00;1744,288;1753,735;1742,528;1747,628;77,07742
2020.05.21 00:00:00;1747,088;1748,538;1717,155;1727,362;74,09748
2020.05.22 00:00:00;1725,518;1739,955;1724,278;1733,648;59,92436
