Time (EET);Ask;Bid;AskVolume;BidVolume
2020.01.02 01:00:04.735;1519,592;1518,768;0,00037;0,00037
2020.01.02 01:00:04.836;1519,742;1518,858;0,00037;0,00037
2020.01.02 01:00:04.938;1519,792;1518,908;0,00037;0,00037
2020.01.02 01:00:05.238;1519,912;1518,968;0,00037;0,00037
2020.01.02 01:00:05.559;1519,892;1519,038;0,00037;0,00037
2020.01.02 01:00:05.924;1519,872;1519,088;0,00037;0,00037
2020.01.02 01:00:06.414;1520,232;1519,278;0,00037;0,00037
2020.01.02 01:00:06.744;1520,282;1519,398;0,00037;0,00037
2020.01.02 01:00:07.065;1520,482;1519,528;0,00037;0,00037
2020.01.02 01:00:07.217;1520,882;1519,938;0,00037;0,00037
2020.01.02 01:00:08.183;1521,245;1520,675;0,0001;0,0001
2020.01.02 01:00:08.519;1521,205;1520,675;0,0001;0,0001
2020.01.02 01:00:08.687;1521,005;1520,275;0,0001;0,0001
2020.01.02 01:00:08.938;1520,525;1520,025;0,0001;0,0001
2020.01.02 01:00:08.989;1520,255;1519,745;0,0001;0,0001
2020.01.02 01:00:09.220;1520,245;1519,745;0,0001;0,0001
2020.01.02 01:00:09.363;1520,145;1519,655;0,0001;0,0001
2020.01.02 01:00:09.503;1520,105;1519,575;0,0001;0,0001
2020.01.02 01:00:09.587;1520,105;1519,375;0,0001;0,0001
2020.01.02 01:00:09.690;1520,105;1519,275;0,0001;0,0001
2020.01.02 01:00:09.741;1519,905;1519,175;0,0001;0,0001
2020.01.02 01:00:10.153;1520,015;1519,495;0,0001;0,0001
2020.01.02 01:00:10.204;1519,905;1519,175;0,0001;0,0001
2020.01.02 01:00:10.254;1519,675;1519,175;0,0001;0,0001
2020.01.02 01:00:10.507;1519,605;1519,115;0,0001;0,0001
2020.01.02 01:00:10.557;1519,575;1519,075;0,0001;0,0001
2020.01.02 01:00:10.615;1519,475;1518,975;0,0001;0,0001
2020.01.02 01:00:10.845;1519,435;1518,935;0,0001;0,0001
2020.01.02 01:00:11.355;1519,885;1519,375;0,0001;0,0001
2020.01.02 01:00:12.525;1520,055;1519,545;0,0001;0,0001
2020.01.02 01:00:12.652;1520,065;1519,575;0,0001;0,0001
2020.01.02 01:00:13.385;1520,065;1519,585;0,0001;0,0001
2020.01.02 01:00:13.435;1520,285;1519,785;0,0001;0,0001
2020.01.02 01:00:13.632;1520,315;1519,815;0,0001;0,0001
2020.01.02 01:00:14.070;1520,205;1519,705;0,0001;0,0001
2020.01.02 01:00:14.304;1520,205;1519,715;0,0001;0,0001
2020.01.02 01:00:14.354;1520,285;1519,775;0,0001;0,0001
2020.01.02 01:00:15.072;1520,245;1519,755;0,0001;0,0001
2020.01.02 01:00:15.173;1520,255;1519,755;0,0001;0,0001
